AGAF	AFT		Afutara Airport	Afutara, Solomon Islands
NZMA	MTA		Matamata Airport	Matamata, New Zealand
NZMC	MON		Mount Cook Airport	Mount Cook, New Zealand
NZMF	MFN		Milford Sound Airport	Milford Sound, New Zealand
NZMK	MZP		Motueka Airport	Motueka, New Zealand
NZMS	MRO		Hood Aerodrome	Masterton, New Zealand
NZNP	NPL		New Plymouth Airport	New Plymouth, New Zealand
NZNR	NPE		Napier Airport (Hastings Airport)	Napier, New Zealand
NZNS	NSN		Nelson Airport	Nelson, New Zealand
NZNV	IVC		Invercargill Airport	Invercargill, New Zealand
NZOU	OAM		Oamaru Airport	Oamaru, North Otago, New Zealand
NZPM	PMR		Palmerston North International Airport	Palmerston North, New Zealand
NZPP	PPQ		Paraparaumu Airport	Paraparaumu Beach, New Zealand
NZQN	ZQN		Queenstown Airport	Queenstown, New Zealand
NZRC	SZS		Ryans Creek Aerodrome	Stewart Island, New Zealand
NZRO	ROT		Rotorua Airport	Rotorua, New Zealand
NZTG	TRG		Tauranga Airport	Tauranga, New Zealand
NZTK	KTF		Takaka Airport	Takaka, New Zealand
NZTU	TIU		Richard Pearse Airport	Timaru, New Zealand
NZWB	BHE		Woodbourne Airport	Blenheim, New Zealand
NZWF	WKA		Wanaka Airport	Wanaka, New Zealand
NZWK	WHK		Whakatane Airport	Whakatane, New Zealand
NZWN	WLG		Wild at Heart Wellington International Airport	Wellington, New Zealand
NZWR	WRE		Whangarei Airport	Whangarei, New Zealand
NZWS	WSZ		Westport Airport	Westport, New Zealand
NZWU	WAG		Wanganui Airport	Wanganui, New Zealand
OABN	BIN		Bamyan Airport	Bamyan, Afghanistan
OABT	BST		Bost Airport	Lashkar Gah (Bost), Afghanistan
OACC	CCN		Chaghcharan Airport	Chaghcharan, Afghanistan
OADS	SBF		Sardeh Band Airport	Sardeh Band, Afghanistan
OADZ	DAZ		Darwaz Airport	Darwaz, Badakhshan, Afghanistan
OAFR	FAH		Farah Airport	Farah, Afghanistan
OAFZ	FBD		Fayzabad Airport (Faizabad Airport)	Fayzabad, Badakhshan, Afghanistan
OAGN	GZI		Ghazni Airport	Ghazni, Afghanistan
OAGZ	GRG		Gardez Airport	Gardez, Afghanistan
OAHN	KWH		Khwahan Airport	Khwahan, Afghanistan
OAHR	HEA		Herat Airport	Herat, Afghanistan
OAIX	OAI		Bagram Airfield	Bagram, Afghanistan
OAJL	JAA		Jalalabad Airport	Jalalabad, Afghanistan
OAKB	KBL		Kabul International Airport	Kabul, Afghanistan
OAKN	KDH		Kandahar International Airport	Kandahar, Afghanistan
OAKS	KHT		Khost Airport	Khost, Afghanistan
OAMN	MMZ		Maymana Airport	Maymana, Afghanistan
OAMS	MZR		Mazari Sharif Airport	Mazari Sharif, Afghanistan
OAQN	LQN		Qala i Naw Airport	Qala i Naw, Afghanistan
OARZ	KUR		Razer Airport	Kron Monjan (Karanomunjan), Afghanistan
OASN	SGA		Sheghnan Airport	Sheghnan, Afghanistan
OATN	TII		Tarin Kowt Airport	Tarin Kowt, Afghanistan
OATQ	TQN		Taloqan Airport	Taloqan, Afghanistan
OAUZ	UND		Kunduz Airport	Kunduz, Afghanistan
OAZJ	ZAJ		Zaranj Airport	Zaranj, Afghanistan
OBBI	BAH		Bahrain International Airport	Al Muharraq, Bahrain
ODAL	DHL		Dhala Airport	Dhala, Yemen
ODKM	KAM		Kamaran Airport	Kamaran, Yemen
OEAB	AHB		Abha Regional Airport	Abha / Khamis Mushait, Saudi Arabia
OEAH	HOF		al-Ahsa Airport (al-Hasa Airport)	Hofuf, Saudi Arabia
OEBA	ABT		Al-Baha Domestic Airport	Al-Baha, Saudi Arabia
OEBH	BHH		Bisha Airport	Bisha, Saudi Arabia
OEDF	DMM		King Fahd International Airport	Dammam, Saudi Arabia
OEDR	DHA		Dhahran International Airport	Dhahran, Saudi Arabia
OEDW	DWD		Dawadmi Airport	Dawadmi, Saudi Arabia
OEGN	GIZ		Prince Abdullah Bin Abdulaziz Airport (Gizan Airport)	Jazan, Saudi Arabia
OEGS	ELQ		Gassim Regional Airport	Buraidah, Saudi Arabia
OEHL	HAS		Ha'il Regional Airport	Ha'il, Saudi Arabia
OEJN	JED		King Abdulaziz International Airport	Jeddah, Saudi Arabia
	HBT		Hafar Al-Batin Domestic Airport	King Khalid Military City / Hafar Al-Batin, Saudi Arabia
OEKM	KMX		King Khaled Air Base	Khamis Mushait, Saudi Arabia
OEMA	MED		Prince Mohammad Bin Abdulaziz Airport	Medina, Saudi Arabia
OENG	EAM		Najran Domestic Airport	Najran (Nejran), Saudi Arabia
OEPA	AQI		Qaisumah Domestic Airport	Qaisumah, Hafar Al-Batin, Eastern Province, Saudi Arabia
OERK	RUH		King Khalid International Airport	Riyadh, Saudi Arabia
OERY	XXN		Riyadh Air Base	Riyadh Air Base, Saudi Arabia
OESK	AJF		Al-Jawf Domestic Airport	Al-Jawf, Saudi Arabia
OETB	TUU		Tabuk Regional Airport	Tabuk, Saudi Arabia
OETF	TIF		Ta'if Airport	Ta'if, Saudi Arabia
OEWJ	EJH		Wejh Airport	Wejh, Saudi Arabia
OEYN	YNB		Yanbu Airport (Yenbo Airport)	Yanbu (Yenbo), Al Madinah, Saudi Arabia
OEZL	ZUL		Zilfi Airport	Zilfi, Saudi Arabia
OIAA	ABD		Abadan Airport	Abadan, Iran
OIAD	DEF		Dezful Airport	Dezful, Iran
OIAI	QMJ		Shahid Asyaee Airport	Masjed Soleiman, Iran
OIAJ	OMI		Omidiyeh Air Base	Omidiyeh, Iran
OIAM	MRX		Mahshahr Airport	Mahshahr, Iran
OIAW	AWZ		Ahwaz Airport	Ahwaz, Iran
OIBB	BUZ		Bushehr Airport	Bushehr, Iran
OIBJ	KNR		Jam Airport	Kangan, Iran
OIBK	KIH		Kish International Airport	Kish Island, Iran
OIBL	BDH		Bandar Lengeh Airport	Bandar Lengeh, Iran
OIBQ	KHK		Khark Island Airport	Khark Island, Iran
OIBV	LVP		Lavan Airport	Lavan Island, Iran
OICC	KSH		Shahid Ashrafi Esfahani Airport (Kermanshah Airport)	Kermanshah, Iran
OICK	KHD		Khorramabad Airport	Khorramabad, Iran
OIFM	IFN		Esfahan Shahid Beheshti International Airport	Isfahan, Iran
OIFS	CQD		Shahre-Kord Airport	Shahre-Kord, Iran
OIHH	HDM		Hamadan Airport	Hamadan, Iran
OIIE	IKA		Tehran Imam Khomeini International Airport	Tehran, Iran
OIII	THR		Mehrabad International Airport	Tehran, Iran
OIKB	BND		Bandar Abbas International Airport	Bandar Abbas, Iran
OIKK	KER		Kerman Airport	Kerman, Iran
OIKM	BXR		Bam Airport	Bam, Iran
OIKQ	GSM		Gheshm Airport	Gheshm, Iran
OIMB	XBJ		Birjand Airport	Birjand, Iran
OIMC	CKT		Sarakhs Airport	Sarakhs, Iran
OIMM	MHD		Mashhad International Airport (Shahid Hashemi Nejad Airport)	Mashhad, Razavi Khorasan Province, Iran
OIMN	BJB		Bojnord Airport	Bojnord, Iran
OIMT	TCX		Tabas Airport	Tabas, Iran
OINB	BBL		Babolsar Airport	Babolsar, Iran
OINJ	BSM		Bishe Kola Air Base	Amol, Iran
OINZ	SRY		Dasht-e Naz Airport	Sari, Iran
OISL	LRR		Lar Airport	Lar, Iran
OISS	SYZ		Shiraz International Airport	Shiraz, Iran
OITH	KHA		Khaneh Airport (Piranshahr Airport)	Khaneh, Iran
OITL	ADU		Ardabil Airport	Ardabil, Iran
OITR	OMH		Orange County Airport	Orange, Virginia, United States
OITT	TBZ		Tabriz International Airport	Tabriz, Iran
OIYY	AZD		Yazd Shahid Sadooghi Airport	Yazd, Iran
OIZB	ACZ		Zabol Airport	Zabol, Iran
OIZC	ZBR		Konarak Airport	Chabahar, Iran
OIZH	ZAH		Zahedan Airport	Zahedan, Iran
OJAI	AMM		Queen Alia International Airport	Amman, Jordan
OJAM	ADJ		Marka International Airport	Amman, Jordan
OJAQ	AQJ		King Hussein International Airport	Aqaba, Jordan
OJMN	MPQ		Ma'an Airport	Ma'an, Jordan
OKBK	KWI		Kuwait International Airport	Kuwait City, Kuwait
OLBA	BEY		Beirut Air Base/Beirut Rafic Hariri International Airport	Beirut, Lebanon
OLKA	KYE		Rene Mouawad Air Base (Kleyate Airport)	Kleyate / Tripoli, Lebanon
OMAA	AUH		Abu Dhabi International Airport	Abu Dhabi, United Arab Emirates
OMAD	AZI		Bateen Airport	Abu Dhabi, United Arab Emirates
OMAL	AAN		Al Ain International Airport	Al Ain, United Arab Emirates
OMAM	DHF		Al Dhafra Airport	Al Dhafra, United Arab Emirates
OMDB	DXB		Dubai International Airport	Dubai, United Arab Emirates
OMDW	DWC		Al Maktoum International Airport	Jebel Ali, Dubai, United Arab Emirates
OMFJ	FJR		Fujairah International Airport (cargo only)	Fujairah, United Arab Emirates
OMRK	RKT		Ras Al Khaimah International Airport	Ras Al Khaimah, United Arab Emirates
OMSJ	SHJ		Sharjah International Airport	Sharjah, United Arab Emirates
OOKB	KHS		Khasab Airport	Khasab, Oman
OOMA	MSH		Masirah Air Base	Masirah Island, Oman
OOMS	MCT		Muscat International Airport (formerly Seeb Airport)	Muscat, Oman
OOSA	SLL		Salalah Airport	Salalah, Oman
OPAB	AAW		Abbottabad Airport	Abbottabad, Pakistan
OPBN	BNP		Bannu Airport	Bannu, North-West Frontier Province, Pakistan
OPBR	WGB		Bahawalnagar Airport	Bahawalnagar, Pakistan
OPBW	BHV		Bahawalpur Airport	Bahawalpur, Pakistan
OPCH	CJL		Chitral Airport	Chitral, Pakistan
OPCL	CHB		Chilas Airport	Chilas, Pakistan
OPDB	DBA		Dalbandin Airport	Dalbandin, Pakistan
OPDD	DDU		Dadu Airport	Dadu, Pakistan
OPDG	DEA		Dera Ghazi Khan Airport	Dera Ghazi Khan, Pakistan
OPDI	DSK		Dera Ismail Khan Airport	Dera Ismail Khan, Pakistan
OPFA	LYP		Faisalabad International Airport	Faisalabad, Pakistan
OPGD	GWD		Gwadar Airport	Gwadar, Pakistan
OPGT	GIL		Gilgit Airport	Gilgit, Pakistan
OPJA	JAG		Jacobabad Air Base (Shahbaz Air Base)	Jacobabad, Pakistan
OPJI	JIW		Jiwani Airport	Jiwani, Pakistan
OPKC	KHI		Jinnah International Airport (Quaid-e-Azam Int'l)	Karachi, Pakistan
OPKD	HDD		Hyderabad Airport	Hyderabad, Pakistan
OPKH	KDD		Khuzdar Airport	Khuzdar, Pakistan
OPKL	KBH		Kalat Airport	Kalat, Pakistan
OPKT	OHT		Kohat Airport	Kohat, Pakistan
OPLA	LHE		Allama Iqbal International Airport	Lahore, Pakistan
OPLL	LRG		Loralai Airport	Loralai, Pakistan
OPMF	MFG		Muzaffarabad Airport	Muzaffarabad, Pakistan
OPMI	MWD		Mianwali Airport	Mianwali, Pakistan
OPMJ	MJD		Moenjodaro Airport	Moenjodaro, Pakistan
OPMP	MPD		Sindhri Tharparkar Airport (Mirpur Khas Airport)	Sindhri Tharparkar, Pakistan
OPMT	MUX		Multan International Airport	Multan, Pakistan
OPPG	PJG		Panjgur Airport	Panjgur, Pakistan
OPPS	PEW		Peshawar Airport	Peshawar, Pakistan
OPQT	UET		Quetta International Airport	Quetta, Pakistan
OPRN	ISB		Benazir Bhutto International Airport (Islamabad International)	Islamabad / Rawalpindi, Pakistan
OPSD	KDU		Skardu Airport	Skardu, Pakistan
OPSK	SKZ		Sukkur Airport	Sukkur, Pakistan
OPST	SKT		Sialkot International Airport	Sialkot, Pakistan
OPSW	SWN		Sahiwal Airport	Sahiwal, Pakistan
OPTH	BDN		Talhar Airport	Badin, Pakistan
OPZB	PZH		Zhob Airport	Zhob, Pakistan
ORBB	BMN		Bamarni Airport	Bamarni, Iraq
ORBI	SDA		Baghdad International Airport (formerly ORBS/Saddam Int'l)	Baghdad, Iraq
ORER	EBL		Erbil International Airport	Erbil, Kurdistan, Iraq
ORKK	KIK		Kirkuk Airport	Kirkuk, Iraq
ORMM	BSR		Basrah International Airport	Basrah, Iraq
ORNI	NJF		Al Najaf International Airport	Al Najaf, Iraq
ORSU	ISU		Sulaimaniyah International Airport	Sulaimaniyah, Kurdistan, Iraq
OSAP	ALP		Aleppo International Airport (Nejrab Airport)	Aleppo, Syria
OSDI	DAM		Damascus International Airport	Damascus, Syria
OSDZ	DEZ		Deir ez-Zor Airport (Al Jafrah Airport)	Deir ez-Zor (Deirezzor), Syria
OSKL	KAC		Kamishly Airport	Kamishly (Kameshli, Qamishli), Syria
OSLK	LTK		Bassel Al-Assad International Airport	Latakia, Syria
OSPR	PMS		Palmyra Airport	Palmyra, Syria
OTBD	DOH		Doha International Airport	Doha, Qatar
OTBH	IUD		Al Udeid Air Base	Doha, Qatar
OYAA	ADE		Aden International Airport	Aden, Yemen
OYAT	AXK		Ataq Airport	Ataq, Yemen
OYBN	BHN		Beihan Airport	Beihan, Yemen
OYGD	AAY		Al Ghaydah Airport	Al Ghaydah, Yemen
OYHD	HOD		Hodeida International Airport	Al Hudaydah (Hodeida), Yemen
OYMB	MYN		Mareb Airport	Mareb, Yemen
OYQN	IHN		Qishn Airport	Qishn, Yemen
OYSN	SAH		El Rahaba Airport (Sanaa International)	Sana'a, Yemen
OYSY	GXF		Seiyun Airport	Seiyun, Yemen
OYTZ	TAI		Ta'izz International Airport	Ta'izz, Yemen
PAAK	AKB	AKA	Atka Airport (FAA: AKA)	Atka, Alaska, United States
PAAL	PML	1AK3	Port Moller Airport (FAA: 1AK3)	Cold Bay, Alaska, United States
PAAP	PTD	AHP	Port Alexander Seaplane Base (FAA: AHP)	Port Alexander, Alaska, United States
PAAQ	PAQ		Palmer Municipal Airport	Palmer, Alaska, United States
PAAT	ATU		Casco Cove Coast Guard Station	Attu Island, Alaska, United States
PABA	BTI	BTI	Barter Island LRRS Airport	Barter Island, Alaska, United States
PABE	BET		Bethel Airport	Bethel, Alaska, United States
PABG	BVU	BLG	Beluga Airport (FAA: BLG)	Beluga, Alaska, United States
PABI		BIG	Allen Army Airfield (formerly Big Delta Army Airfield)	Fort Greely, Delta Junction, Alaska, United States
	DJN	D66	Delta Junction Airport (FAA: D66)	Delta Junction, Alaska, United States
PABK	MTX	MTF	Metro Field (FAA: MTF)	Fairbanks, Alaska, United States
PABL	BKC	BVK	Buckland Airport (FAA: BVK)	Buckland, Alaska, United States
PABM	BMX	37AK	Big Mountain Air Force Station (FAA: 37AK)	Big Mountain, Alaska, United States
PABR	BRW		Wiley Post-Will Rogers Memorial Airport	Barrow, Alaska, United States
PABT	BTT		Bettles Airport	Bettles, Alaska, United States
PACA	CSP		Cape Spencer Coast Guard Heliport	Cape Spencer, Alaska, United States
PACD	CDB		Cold Bay Airport	Cold Bay, Alaska, United States
PACI	CIK		Chalkyitsik Airport	Chalkyitsik, Alaska, United States
PACK	CYF	CFK	Chefornak Airport (FAA: CFK)	Chefornak, Alaska, United States
PACR	IRC	CRC	Circle City (New) Airport (FAA: CRC)	Circle, Alaska, United States
PACV	CDV		Merle K. (Mudhole) Smith Airport	Cordova, Alaska, United States
PACX	CXF		Coldfoot Airport	Coldfoot, Alaska, United States
PACY	CYT		Yakataga Airport	Cape Yakataga, Alaska, United States
PACZ	CZF		Cape Romanzof Long Range Radar Station	Cape Romanzof, Alaska, United States
PADE	DRG	DEE	Deering Airport (FAA: DEE)	Deering, Alaska, United States
PADK	ADK		Adak Island Airport	Adak Island, Alaska, United States
PADL	DLG		Dillingham Airport	Dillingham, Alaska, United States
PADM	MLL	MDM	Marshall Don Hunter Sr. Airport (FAA: MDM)	Marshall, Alaska, United States
PADQ	ADQ		Kodiak Airport	Kodiak, Alaska, United States
PADU	DUT		Unalaska Airport	Unalaska, Alaska, United States
PADY	KKH	DUY	Kongiganak Airport (FAA: DUY)	Kongiganak, Alaska, United States
PAED	EDF		Elmendorf Air Force Base	Anchorage, Alaska, United States
PAEE	EEK		Eek Airport	Eek, Alaska, United States
PAEG	EAA		Eagle Airport	Eagle, Alaska, United States
PAEH	EHM		Cape Newenham LRRS Airport	Cape Newenham, Alaska, United States
PAEI	EIL		Eielson Air Force Base	Fairbanks, Alaska, United States
PAEL	ELV		Elfin Cove Seaplane Base	Elfin Cove, Alaska, United States
PAEM	EMK	ENM	Emmonak Airport (FAA: ENM)	Emmonak, Alaska, United States
PAEN	ENA		Kenai Municipal Airport	Kenai, Alaska, United States
PAEW	WWT	EWU	Newtok Airport (FAA: EWU)	Newtok, Alaska, United States
PAFA	FAI		Fairbanks International Airport	Fairbanks, Alaska, United States
PAFB	FBK		Wainwright Army Airfield	Fairbanks / Fort Wainwright, Alaska, United States
PAFE	KAE	AFE	Kake Airport (FAA: AFE)	Kake, Alaska, United States
PAFM	ABL	AFM	Ambler Airport (FAA: AFM)	Ambler, Alaska, United States
PAFR	FRN		Bryant Army Heliport / Bryant AAF	Fort Richardson, Anchorage, Alaska, United States
PAFS	NIB	FSP	Nikolai Airport (FAA: FSP)	Nikolai, Alaska, United States
PAFV	FMC	FVM	Five Mile Airport (FAA: FVM)	Five Mile, Alaska, United States
PAFW	FWL		Farewell Airport	Farewell, Alaska, United States
PAGA	GAL		Edward G. Pitka Sr. Airport	Galena, Alaska, United States
PAGB	GBH		Galbraith Lake Airport	Galbraith Lake, Alaska, United States
PAGK	GKN		Gulkana Airport	Gulkana, Alaska, United States
PAGL	GLV		Golovin Airport	Golovin, Alaska, United States
PAGM	GAM		Gambell Airport	Gambell, Alaska, United States
PAGN	AGN		Angoon Seaplane Base	Angoon, Alaska, United States
PAGQ	BGQ		Big Lake Airport	Big Lake, Alaska, United States
PAGS	GST		Gustavus Airport	Gustavus, Alaska, United States
PAGT	NME	IGT	Nightmute Airport (FAA: IGT)	Nightmute, Alaska, United States
PAGY	SGY		Skagway Airport	Skagway, Alaska, United States
PAGZ	GMT	GSZ	Granite Mountain Air Station (FAA: GSZ)	Granite Mountain, Alaska, United States
PAHC	HCR	HCA	Holy Cross Airport (FAA: HCA)	Holy Cross, Alaska, United States
PAHE	HNE		Tahneta Pass Airport (closed)	Tahneta Pass Lodge, Alaska, United States
PAHL	HSL	HLA	Huslia Airport (FAA: HLA)	Huslia, Alaska, United States
PAHN	HNS		Haines Airport	Haines, Alaska, United States
PAHO	HOM		Homer Airport	Homer, Alaska, United States
PAHP	HPB		Hooper Bay Airport	Hooper Bay, Alaska, United States
PAHU	HUS		Hughes Airport	Hughes, Alaska, United States
PAHV	HKB	HRR	Healy River Airport (FAA: HRR)	Healy, Alaska, United States
PAHX	SHX		Shageluk Airport	Shageluk, Alaska, United States
PAHY	HYG		Hydaburg Seaplane Base	Hydaburg, Alaska, United States
PAIG	IGG		Igiugig Airport	Igiugig, Alaska, United States
PAII	EGX	EII	Egegik Airport (FAA: EII)	Egegik, Alaska, United States
PAIK	IAN		Bob Baker Memorial Airport	Kiana, Alaska, United States
PAIL	ILI		Iliamna Airport	Iliamna, Alaska, United States
PAIM	UTO		Indian Mountain LRRS Airport	Utopia Creek, Alaska, United States
PAIN	MCL	INR	McKinley National Park Airport (FAA: INR)	McKinley Park, Alaska, United States
PAIW	WAA	IWK	Wales Airport (FAA: IWK)	Wales, Alaska, United States
PAJN	JNU		Juneau International Airport	Juneau, Alaska, United States
PAJZ	KGK	JZZ	Koliganek Airport (FAA: JZZ)	Koliganek, Alaska, United States
PAKD	KDK		Kodiak Municipal Airport	Kodiak, Alaska, United States
PAKF	KFP		False Pass Airport	False Pass, Alaska, United States
PAKH	AKK		Akhiok Airport	Akhiok, Alaska, United States
PAKI	KPN	IIK	Kipnuk Airport (FAA: IIK)	Kipnuk, Alaska, United States
PAKK	KKA		Koyuk Alfred Adams Airport	Koyuk, Alaska, United States
PAKL	LKK		Kulik Lake Airport	Kulik Lake, Bristol Bay Borough, Alaska, United States
PAKN	AKN		King Salmon Airport	King Salmon, Alaska, United States
PAKO	IKO		Nikolski Air Station	Nikolski, Alaska, United States
PAKP	AKP		Anaktuvuk Pass Airport	Anaktuvuk Pass, Alaska, United States
PAKT	KTN		Ketchikan International Airport	Ketchikan, Alaska, United States
PAKU	UUK	UBW	Ugnu-Kuparuk Airport (FAA: UBW)	Kuparuk, Alaska, United States
PAKV	KAL		Kaltag Airport	Kaltag, Alaska, United States
PAKW	KLW	AKW	Klawock Airport (FAA: AKW)	Klawock, Alaska, United States
PAKY	KYK		Karluk Airport	Karluk, Alaska, United States
PALB	KLN	2A3	Larsen Bay Airport (FAA: 2A3)	Larsen Bay, Alaska, United States
PALG	KLG		Kalskag Airport	Kalskag, Alaska, United States
PALJ	PTA	TPO	Port Alsworth Airport (FAA: TPO)	Port Alsworth, Alaska, United States
PALN	LNI	AK71	Lonely Air Station (FAA: AK71)	Lonely, North Slope Borough, Alaska, United States
PALP	DQH	AK15	Alpine Airstrip (FAA: AK15)	Deadhorse, Alaska, United States
PALR	WCR		Chandalar Lake Airport	Chandalar Lake, Alaska, United States
PALU	LUR		Cape Lisburne LRRS Airport	Cape Lisburne, Alaska, United States
PAMB	KMO	MBA	Manokotak Airport (FAA: MBA)	Manokotak, Alaska, United States
PAMC	MCG		McGrath Airport	McGrath, Alaska, United States
PAMD	MDO		Middleton Island Airport	Middleton Island, Alaska, United States
PAMH	MHM		Minchumina Airport	Minchumina, Alaska, United States
PAMK	SMK		St. Michael Airport	St. Michael, Alaska, United States
PAML	MLY		Manley Hot Springs Airport	Manley Hot Springs, Alaska, United States
PAMM	MTM		Metlakatla Seaplane Base	Metlakatla, Annette Island, Alaska, United States
PAMO	MOU		Mountain Village Airport	Mountain Village, Alaska, United States
PAMR	MRI		Merrill Field	Anchorage, Alaska, United States
PAMX	MXY	15Z	McCarthy Airport (FAA: 15Z)	McCarthy, Alaska, United States
PAMY	MYU		Mekoryuk Airport	Mekoryuk, Alaska, United States
PANA	WNA		Napakiak Airport	Napakiak, Alaska, United States
PANC	ANC		Ted Stevens Anchorage International Airport	Anchorage, Alaska, United States
PANI	ANI		Aniak Airport	Aniak, Alaska, United States
PANN	ENN		Nenana Municipal Airport	Nenana, Alaska, United States
PANO	NNL	5NN	Nondalton Airport (FAA: 5NN)	Nondalton, Alaska, United States
PANR	FNR		Funter Bay Seaplane Base	Funter Bay, Alaska, United States
PANT	ANN		Annette Island Airport	Annette Island, Alaska, United States
PANU	NUL		Nulato Airport	Nulato, Alaska, United States
PANV	ANV		Anvik Airport	Anvik, Alaska, United States
PANW	KNW		New Stuyahok Airport	New Stuyahok, Alaska, United States
PAOC	PCA	A14	Portage Creek Airport (FAA: A14)	Portage Creek, Alaska, United States
PAOH	HNH		Hoonah Airport	Hoonah, Alaska, United States
PAOM	OME		Nome Airport	Nome, Alaska, United States
PAOO	OOK		Toksook Bay Airport	Toksook Bay, Alaska, United States
PAOR	ORT		Northway Airport	Northway, Alaska, United States
PAOT	OTZ		Ralph Wien Memorial Airport	Kotzebue, Alaska, United States
PAOU	NLG	OUL	Nelson Lagoon Airport (FAA: OUL)	Nelson Lagoon, Alaska, United States
PAPB	STG	PBV	St. George Airport (FAA: PBV)	St. George, Alaska, United States
PAPC	KPC		Port Clarence Coast Guard Station	Port Clarence, Alaska, United States
PAPE	KPV	PEV	Perryville Airport (FAA: PEV)	Perryville, Alaska, United States
PAPG	PSG		Petersburg James A. Johnson Airport	Petersburg, Alaska, United States
PAPH	PTH		Port Heiden Airport	Port Heiden, Alaska, United States
PAPK	PKA		Napaskiak Airport	Napaskiak, Alaska, United States
PAPM	PTU		Platinum Airport	Platinum, Alaska, United States
PAPN	PIP	PNP	Pilot Point Airport (FAA: PNP)	Pilot Point, Alaska, United States
PAPO	PHO		Point Hope Airport	Point Hope, Alaska, United States
PAPR	PPC		Prospect Creek Airport	Prospect Creek, Alaska, United States
PAQH	KWN	AQH	Quinhagak Airport (FAA: AQH)	Quinhagak, Alaska, United States
PAQT	NUI	AQT	Nuiqsut Airport (FAA: AQT)	Nuiqsut, Alaska, United States
PARC	ARC		Arctic Village Airport	Arctic Village, Alaska, United States
PARS	RSH		Russian Mission Airport	Russian Mission, Alaska, United States
PARY	RBY		Ruby Airport	Ruby, Alaska, United States
PASA	SVA		Savoonga Airport	Savoonga, Alaska, United States
PASC	SCC		Deadhorse Airport	Deadhorse, Alaska, United States
PASD	SDP		Sand Point Airport	Sand Point, Alaska, United States
PASH	SHH		Shishmaref Airport	Shishmaref, Alaska, United States
PASI	SIT		Sitka Rocky Gutierrez Airport	Sitka, Alaska, United States
PASK	WLK		Selawik Airport	Selawik, Alaska, United States
PASL	SLQ		Sleetmute Airport	Sleetmute, Alaska, United States
PASM	KSM		St. Mary's Airport	St. Mary's, Alaska, United States
PASN	SNP		St. Paul Island Airport	St. Paul Island, Alaska, United States
PASO	SOV		Seldovia Airport	Seldovia, Alaska, United States
PASP	SMU		Sheep Mountain Airport	Sheep Mountain, Alaska, United States
PAST	UMM		Summit Airport	Summit, Alaska, United States
PASV	SVW		Sparrevohn LRRS Airport	Sparrevohn, Alaska, United States
PASW	SKW		Skwentna Airport	Skwentna, Alaska, United States
PASX	SXQ		Soldotna Airport	Soldotna, Alaska, United States
PASY	SYA		Eareckson Air Station	Shemya, Alaska, United States
PATA	TAL		Ralph M. Calhoun Memorial Airport	Tanana, Alaska, United States
PATC	TNC		Tin City LRRS Airport	Tin City, Alaska, United States
PATE	TLA	TER	Teller Airport (FAA: TER)	Teller, Alaska, United States
PATG	TOG		Togiak Airport	Togiak Village, Alaska, United States
PATJ	TKJ		Tok Airport	Tok, Alaska, United States
PATK	TKA		Talkeetna Airport	Talkeetna, Alaska, United States
PATL	TLJ		Tatalina LRRS Airport	Takotna, Alaska, United States
PATQ	ATK		Atqasuk Edward Burnell Sr. Memorial Airport	Atqasuk, Alaska, United States
PAUM	UMT		Umiat Airport	Umiat, Alaska, United States
PAUN	UNK		Unalakleet Airport	Unalakleet, Alaska, United States
PAUO	WOW	UUO	Willow Airport (FAA: UUO)	Willow, Alaska, United States
PAVA	VAK		Chevak Airport	Chevak, Alaska, United States
PAVC	KVC		King Cove Airport	King Cove, Alaska, United States
PAVD	VDZ		Valdez Airport (Pioneer Field)	Valdez, Alaska, United States
PAVE	VEE		Venetie Airport	Venetie, Alaska, United States
PAVL	KVL		Kivalina Airport	Kivalina, Alaska, United States
PAWB	WBQ		Beaver Airport	Beaver, Alaska, United States
PAWD	SWD		Seward Airport	Seward, Alaska, United States
PAWG	WRG		Wrangell Airport	Wrangell, Alaska, United States
PAWI	AIN	AWI	Wainwright Airport (FAA: AWI)	Fort Wainwright, Alaska, United States
PAWM	WMO		White Mountain Airport	White Mountain, Alaska, United States
PAWN	WTK		Noatak Airport	Noatak, Alaska, United States
PAWS	WWA	IYS	Wasilla Airport (FAA: IYS)	Wasilla, Alaska, United States
PAYA	YAK		Yakutat Airport	Yakutat, Alaska, United States
PCIS	CIS		Canton Island Airport	Canton Island, Kiribati
PFAK	AKI		Akiak Airport	Akiak, Alaska, United States
PFAL	AET	6A8	Allakaket Airport (FAA: 6A8)	Allakaket, Alaska, United States
PFCB	NCN	C05	Chenega Bay Airport (FAA: C05)	Chenega, Alaska, United States
PFCL	CLP		Clarks Point Airport	Clarks Point, Alaska, United States
PFEL	ELI		Elim Airport	Elim, Alaska, United States
PFKA	KUK	Z09	Kasigluk Airport (FAA: Z09)	Kasigluk, Alaska, United States
PFKK	KNK	9K2	Kokhanok Airport (FAA: 9K2)	Kokhanok, Alaska, United States
PFKO	KOT	2A9	Kotlik Airport (FAA: 2A9)	Kotlik, Alaska, United States
PFKT	KTS		Brevig Mission Airport	Brevig Mission, Alaska, United States
PFKU	KYU		Koyukuk Airport	Koyukuk, Alaska, United States
PFKW	KWT		Kwethluk Airport	Kwethluk, Alaska, United States
PFNO	ORV	D76	Robert (Bob) Curtis Memorial Airport (FAA: D76)	Noorvik, Alaska, United States
