Code	Status	Partner_Agency	639_3	639_2	B_Code	bt_equiv	639_1	Reference_Name	Element_Scope	Language_Type	Documentation
mbc	A	SIL	mbc					Macushi	I	L	SIL
mbd	A	SIL	mbd					Dibabawon Manobo	I	L	SIL
mbe	A	SIL	mbe					Molale	I	E	SIL
mbf	A	SIL	mbf					Baba Malay	I	L	SIL
mbg	R	SIL	mbg					Northern Nambikuára	I	L	
mbh	A	SIL	mbh					Mangseng	I	L	SIL
mbi	A	SIL	mbi					Ilianen Manobo	I	L	SIL
mbj	A	SIL	mbj					Nadëb	I	L	SIL
mbk	A	SIL	mbk					Malol	I	L	SIL
mbl	A	SIL	mbl					Maxakalí	I	L	SIL
mbm	A	SIL	mbm					Ombamba	I	L	SIL
mbn	A	SIL	mbn					Macaguán	I	L	SIL
mbo	A	SIL	mbo					Mbo (Cameroon)	I	L	SIL
mbp	A	SIL	mbp					Malayo	I	L	SIL
mbq	A	SIL	mbq					Maisin	I	L	SIL
mbr	A	SIL	mbr					Nukak Makú	I	L	SIL
mbs	A	SIL	mbs					Sarangani Manobo	I	L	SIL
mbt	A	SIL	mbt					Matigsalug Manobo	I	L	SIL
mbu	A	SIL	mbu					Mbula-Bwazza	I	L	SIL
mbv	A	SIL	mbv					Mbulungish	I	L	SIL
mbw	A	SIL	mbw					Maring	I	L	SIL
mbx	A	SIL	mbx					Mari (East Sepik Province)	I	L	SIL
mby	A	SIL	mby					Memoni	I	L	SIL
mbz	A	SIL	mbz					Amoltepec Mixtec	I	L	SIL
mca	A	SIL	mca					Maca	I	L	SIL
mcb	A	SIL	mcb					Machiguenga	I	L	SIL
mcc	A	SIL	mcc					Bitur	I	L	SIL
mcd	A	SIL	mcd					Sharanahua	I	L	SIL
mce	A	SIL	mce					Itundujia Mixtec	I	L	SIL
mcf	A	SIL	mcf					Matsés	I	L	SIL
mcg	A	SIL	mcg					Mapoyo	I	L	SIL
mch	A	SIL	mch					Maquiritari	I	L	SIL
mci	A	SIL	mci					Mese	I	L	SIL
mcj	A	SIL	mcj					Mvanip	I	L	SIL
mck	A	SIL	mck					Mbunda	I	L	SIL
mcl	A	SIL	mcl					Macaguaje	I	E	SIL
mcm	A	SIL	mcm					Malaccan Creole Portuguese	I	L	SIL
mcn	A	SIL	mcn					Masana	I	L	SIL
mco	A	SIL	mco					Coatlán Mixe	I	L	SIL
mcp	A	SIL	mcp					Makaa	I	L	SIL
mcq	A	SIL	mcq					Ese	I	L	SIL
mcr	A	SIL	mcr					Menya	I	L	SIL
mcs	A	SIL	mcs					Mambai	I	L	SIL
mct	A	SIL	mct					Mengisa	I	L	SIL
mcu	A	SIL	mcu					Cameroon Mambila	I	L	SIL
mcv	A	SIL	mcv					Minanibai	I	L	SIL
mcw	A	SIL	mcw					Mawa (Chad)	I	L	SIL
mcx	A	SIL	mcx					Mpiemo	I	L	SIL
mcy	A	SIL	mcy					South Watut	I	L	SIL
mcz	A	SIL	mcz					Mawan	I	L	SIL
mda	A	SIL	mda					Mada (Nigeria)	I	L	SIL
mdb	A	SIL	mdb					Morigi	I	L	SIL
mdc	A	SIL	mdc					Male (Papua New Guinea)	I	L	SIL
mdd	A	SIL	mdd					Mbum	I	L	SIL
mde	A	SIL	mde					Maba (Chad)	I	L	SIL
mdf	A	JAC	mdf	mdf				Moksha	I	L	SIL
mdg	A	SIL	mdg					Massalat	I	L	SIL
mdh	A	SIL	mdh					Maguindanaon	I	L	SIL
mdi	A	SIL	mdi					Mamvu	I	L	SIL
mdj	A	SIL	mdj					Mangbetu	I	L	SIL
mdk	A	SIL	mdk					Mangbutu	I	L	SIL
mdl	A	SIL	mdl					Maltese Sign Language	I	L	SIL
mdm	A	SIL	mdm					Mayogo	I	L	SIL
mdn	A	SIL	mdn					Mbati	I	L	SIL
mdo	R	SIL	mdo					Southwest Gbaya	I	L	
mdp	A	SIL	mdp					Mbala	I	L	SIL
mdq	A	SIL	mdq					Mbole	I	L	SIL
mdr	A	JAC	mdr	mdr				Mandar	I	L	SIL
mds	A	SIL	mds					Maria (Papua New Guinea)	I	L	SIL
mdt	A	SIL	mdt					Mbere	I	L	SIL
mdu	A	SIL	mdu					Mboko	I	L	SIL
mdv	A	SIL	mdv					Santa Lucía Monteverde Mixtec	I	L	SIL
mdw	A	SIL	mdw					Mbosi	I	L	SIL
mdx	A	SIL	mdx					Dizin	I	L	SIL
mdy	A	SIL	mdy					Male (Ethiopia)	I	L	SIL
mdz	A	SIL	mdz					Suruí Do Pará	I	L	SIL
mea	A	SIL	mea					Menka	I	L	SIL
meb	A	SIL	meb					Ikobi	I	L	SIL
mec	A	SIL	mec					Mara	I	L	SIL
med	A	SIL	med					Melpa	I	L	SIL
mee	A	SIL	mee					Mengen	I	L	SIL
mef	A	SIL	mef					Megam	I	L	SIL
meg	A	SIL	meg					Mea	I	L	SIL
meh	A	SIL	meh					Southwestern Tlaxiaco Mixtec	I	L	SIL
mei	A	SIL	mei					Midob	I	L	SIL
mej	A	SIL	mej					Meyah	I	L	SIL
mek	A	SIL	mek					Mekeo	I	L	SIL
mel	A	SIL	mel					Central Melanau	I	L	SIL
mem	A	SIL	mem					Mangala	I	E	SIL
men	A	JAC	men	men				Mende (Sierra Leone)	I	L	SIL
meo	A	SIL	meo					Kedah Malay	I	L	SIL
mep	A	SIL	mep					Miriwung	I	L	SIL
meq	A	SIL	meq					Merey	I	L	SIL
mer	A	SIL	mer					Meru	I	L	SIL
mes	A	SIL	mes					Masmaje	I	L	SIL
met	A	SIL	met					Mato	I	L	SIL
meu	A	SIL	meu					Motu	I	L	SIL
mev	A	SIL	mev					Mann	I	L	SIL
mew	A	SIL	mew					Maaka	I	L	SIL
mey	A	SIL	mey					Hassaniyya	I	L	SIL
mez	A	SIL	mez					Menominee	I	L	SIL
mfa	A	SIL	mfa					Pattani Malay	I	L	SIL
mfb	A	SIL	mfb					Bangka	I	L	SIL
mfc	A	SIL	mfc					Mba	I	L	SIL
mfd	A	SIL	mfd					Mendankwe-Nkwen	I	L	SIL
mfe	A	SIL	mfe					Morisyen	I	L	SIL
mff	A	SIL	mff					Naki	I	L	SIL
mfg	A	SIL	mfg					Mixifore	I	L	SIL
mfh	A	SIL	mfh					Matal	I	L	SIL
mfi	A	SIL	mfi					Wandala	I	L	SIL
mfj	A	SIL	mfj					Mefele	I	L	SIL
mfk	A	SIL	mfk					North Mofu	I	L	SIL
mfl	A	SIL	mfl					Putai	I	L	SIL
mfm	A	SIL	mfm					Marghi South	I	L	SIL
mfn	A	SIL	mfn					Cross River Mbembe	I	L	SIL
mfo	A	SIL	mfo					Mbe	I	L	SIL
mfp	A	SIL	mfp					Makassar Malay	I	L	SIL
mfq	A	SIL	mfq					Moba	I	L	SIL
mfr	A	SIL	mfr					Marithiel	I	L	SIL
mfs	A	SIL	mfs					Mexican Sign Language	I	L	SIL
mft	A	SIL	mft					Mokerang	I	L	SIL
mfu	A	SIL	mfu					Mbwela	I	L	SIL
mfv	A	SIL	mfv					Mandjak	I	L	SIL
mfw	A	SIL	mfw					Mulaha	I	E	SIL
mfx	A	SIL	mfx					Melo	I	L	SIL
mfy	A	SIL	mfy					Mayo	I	L	SIL
mfz	A	SIL	mfz					Mabaan	I	L	SIL
mga	A	JAC	mga	mga				Middle Irish (900-1200)	I	H	LL
mgb	A	SIL	mgb					Mararit	I	L	SIL
mgc	A	SIL	mgc					Morokodo	I	L	SIL
mgd	A	SIL	mgd					Moru	I	L	SIL
mge	A	SIL	mge					Mango	I	L	SIL
mgf	A	SIL	mgf					Maklew	I	L	SIL
mgg	A	SIL	mgg					Mpumpong	I	L	SIL
mgh	A	SIL	mgh					Makhuwa-Meetto	I	L	SIL
mgi	A	SIL	mgi					Lijili	I	L	SIL
mgj	A	SIL	mgj					Abureni	I	L	SIL
mgk	A	SIL	mgk					Mawes	I	L	SIL
mgl	A	SIL	mgl					Maleu-Kilenge	I	L	SIL
mgm	A	SIL	mgm					Mambae	I	L	SIL
mgn	A	SIL	mgn					Mbangi	I	L	SIL
mgo	A	SIL	mgo					Meta'	I	L	SIL
mgp	A	SIL	mgp					Eastern Magar	I	L	SIL
mgq	A	SIL	mgq					Malila	I	L	SIL
mgr	A	SIL	mgr					Mambwe-Lungu	I	L	SIL
mgs	A	SIL	mgs					Manda (Tanzania)	I	L	SIL
mgt	A	SIL	mgt					Mongol	I	L	SIL
mgu	A	SIL	mgu					Mailu	I	L	SIL
mgv	A	SIL	mgv					Matengo	I	L	SIL
mgw	A	SIL	mgw					Matumbi	I	L	SIL
mgx	R	SIL	mgx					Omati	I	L	
mgy	A	SIL	mgy					Mbunga	I	L	SIL
mgz	A	SIL	mgz					Mbugwe	I	L	SIL
mha	A	SIL	mha					Manda (India)	I	L	SIL
mhb	A	SIL	mhb					Mahongwe	I	L	SIL
mhc	A	SIL	mhc					Mocho	I	L	SIL
mhd	A	SIL	mhd					Mbugu	I	L	SIL
mhe	A	SIL	mhe					Besisi	I	L	SIL
mhf	A	SIL	mhf					Mamaa	I	L	SIL
mhg	A	SIL	mhg					Margu	I	L	SIL
mhh	A	SIL	mhh					Maskoy Pidgin	I	L	SIL
mhi	A	SIL	mhi					Ma'di	I	L	SIL
mhj	A	SIL	mhj					Mogholi	I	L	SIL
mhk	A	SIL	mhk					Mungaka	I	L	SIL
mhl	A	SIL	mhl					Mauwake	I	L	SIL
mhm	A	SIL	mhm					Makhuwa-Moniga	I	L	SIL
mhn	A	SIL	mhn					Mócheno	I	L	SIL
mho	A	SIL	mho					Mashi (Zambia)	I	L	SIL
mhp	A	SIL	mhp					Balinese Malay	I	L	SIL
mhq	A	SIL	mhq					Mandan	I	L	SIL
mhr	A	SIL	mhr					Eastern Mari	I	L	SIL
mhs	A	SIL	mhs					Buru (Indonesia)	I	L	SIL
mht	A	SIL	mht					Mandahuaca	I	L	SIL
mhu	A	SIL	mhu					Digaro-Mishmi	I	L	SIL
mhv	R	SIL	mhv					Arakanese	I	L	
mhw	A	SIL	mhw					Mbukushu	I	L	SIL
mhx	A	SIL	mhx					Maru	I	L	SIL
mhy	A	SIL	mhy					Ma'anyan	I	L	SIL
mhz	A	SIL	mhz					Mor (Mor Islands)	I	L	SIL
mia	A	SIL	mia					Miami	I	L	SIL
mib	A	SIL	mib					Atatláhuca Mixtec	I	L	SIL
mic	A	JAC	mic	mic				Mi'kmaq	I	L	SIL
mid	A	SIL	mid					Mandaic	I	L	SIL
mie	A	SIL	mie					Ocotepec Mixtec	I	L	SIL
mif	A	SIL	mif					Mofu-Gudur	I	L	SIL
mig	A	SIL	mig					San Miguel El Grande Mixtec	I	L	SIL
mih	A	SIL	mih					Chayuco Mixtec	I	L	SIL
mii	A	SIL	mii					Chigmecatitlán Mixtec	I	L	SIL
mij	A	SIL	mij					Abar	I	L	SIL
mik	A	SIL	mik					Mikasuki	I	L	SIL
mil	A	SIL	mil					Peñoles Mixtec	I	L	SIL
mim	A	SIL	mim					Alacatlatzala Mixtec	I	L	SIL
min	A	JAC	min	min				Minangkabau	I	L	SIL
mio	A	SIL	mio					Pinotepa Nacional Mixtec	I	L	SIL
mip	A	SIL	mip					Apasco-Apoala Mixtec	I	L	SIL
miq	A	SIL	miq					Mískito	I	L	SIL
mir	A	SIL	mir					Isthmus Mixe	I	L	SIL
mis	A	JAC	mis	mis				Uncoded languages	S	S	
mit	A	SIL	mit					Southern Puebla Mixtec	I	L	SIL
miu	A	SIL	miu					Cacaloxtepec Mixtec	I	L	SIL
miv	R	SIL	miv					Mimi	I	L	
miw	A	SIL	miw					Akoye	I	L	SIL
mix	A	SIL	mix					Mixtepec Mixtec	I	L	SIL
miy	A	SIL	miy					Ayutla Mixtec	I	L	SIL
miz	A	SIL	miz					Coatzospan Mixtec	I	L	SIL
mja	R	SIL	mja					Mahei	I	L	
mjc	A	SIL	mjc					San Juan Colorado Mixtec	I	L	SIL
mjd	A	SIL	mjd					Northwest Maidu	I	L	SIL
mje	A	SIL	mje					Muskum	I	E	SIL
mjg	A	SIL	mjg					Tu	I	L	SIL
mjh	A	SIL	mjh					Mwera (Nyasa)	I	L	SIL
mji	A	SIL	mji					Kim Mun	I	L	SIL
mjj	A	SIL	mjj					Mawak	I	L	SIL
mjk	A	SIL	mjk					Matukar	I	L	SIL
mjl	A	SIL	mjl					Mandeali	I	L	SIL
mjm	A	SIL	mjm					Medebur	I	L	SIL
mjn	A	SIL	mjn					Ma (Papua New Guinea)	I	L	SIL
mjo	A	SIL	mjo					Malankuravan	I	L	SIL
mjp	A	SIL	mjp					Malapandaram	I	L	SIL
mjq	A	SIL	mjq					Malaryan	I	E	SIL
mjr	A	SIL	mjr					Malavedan	I	L	SIL
mjs	A	SIL	mjs					Miship	I	L	SIL
mjt	A	SIL	mjt					Sauria Paharia	I	L	SIL
mju	A	SIL	mju					Manna-Dora	I	L	SIL
mjv	A	SIL	mjv					Mannan	I	L	SIL
mjw	A	SIL	mjw					Karbi	I	L	SIL
mjx	A	SIL	mjx					Mahali	I	L	SIL
mjy	A	SIL	mjy					Mahican	I	E	SIL
mjz	A	SIL	mjz					Majhi	I	L	SIL
mka	A	SIL	mka					Mbre	I	L	SIL
mkb	A	SIL	mkb					Mal Paharia	I	L	SIL
mkc	A	SIL	mkc					Siliput	I	L	SIL
mkd	A	JAC	mkd	mkd	mac	mac	mk	Macedonian	I	L	SIL
mke	A	SIL	mke					Mawchi	I	L	SIL
mkf	A	SIL	mkf					Miya	I	L	SIL
mkg	A	SIL	mkg					Mak (China)	I	L	SIL
mkh	A	JAC		mkh				Mon-Khmer languages	C	Genetic	
mki	A	SIL	mki					Dhatki	I	L	SIL
mkj	A	SIL	mkj					Mokilese	I	L	SIL
mkk	A	SIL	mkk					Byep	I	L	SIL
mkl	A	SIL	mkl					Mokole	I	L	SIL
mkm	A	SIL	mkm					Moklen	I	L	SIL
mkn	A	SIL	mkn					Kupang Malay	I	L	SIL
mko	A	SIL	mko					Mingang Doso	I	L	SIL
mkp	A	SIL	mkp					Moikodi	I	L	SIL
mkq	A	SIL	mkq					Bay Miwok	I	E	SIL
mkr	A	SIL	mkr					Malas	I	L	SIL
mks	A	SIL	mks					Silacayoapan Mixtec	I	L	SIL
mkt	A	SIL	mkt					Vamale	I	L	SIL
mku	A	SIL	mku					Konyanka Maninka	I	L	SIL
mkv	A	SIL	mkv					Mafea	I	L	SIL
mkw	A	SIL	mkw					Kituba (Congo)	I	L	SIL
mkx	A	SIL	mkx					Kinamiging Manobo	I	L	SIL
mky	A	SIL	mky					East Makian	I	L	SIL
mkz	A	SIL	mkz					Makasae	I	L	SIL
mla	A	SIL	mla					Malo	I	L	SIL
mlb	A	SIL	mlb					Mbule	I	L	SIL
mlc	A	SIL	mlc					Cao Lan	I	L	SIL
mld	A	SIL	mld					Malakhel	I	L	SIL
mle	A	SIL	mle					Manambu	I	L	SIL
mlf	A	SIL	mlf					Mal	I	L	SIL
mlg	A	JAC	mlg	mlg			mg	Malagasy	M	L	
mlh	A	SIL	mlh					Mape	I	L	SIL
mli	A	SIL	mli					Malimpung	I	L	SIL
mlj	A	SIL	mlj					Miltu	I	L	SIL
mlk	A	SIL	mlk					Ilwana	I	L	SIL
mll	A	SIL	mll					Malua Bay	I	L	SIL
mlm	A	SIL	mlm					Mulam	I	L	SIL
mln	A	SIL	mln					Malango	I	L	SIL
mlo	A	SIL	mlo					Mlomp	I	L	SIL
mlp	A	SIL	mlp					Bargam	I	L	SIL
mlq	A	SIL	mlq					Western Maninkakan	I	L	SIL
mlr	A	SIL	mlr					Vame	I	L	SIL
mls	A	SIL	mls					Masalit	I	L	SIL
mlt	A	JAC	mlt	mlt			mt	Maltese	I	L	SIL
mlu	A	SIL	mlu					To'abaita	I	L	SIL
mlv	A	SIL	mlv					Motlav	I	L	SIL
mlw	A	SIL	mlw					Moloko	I	L	SIL
mlx	A	SIL	mlx					Malfaxal	I	L	SIL
mly	R	SIL	mly					Malay (individual language)	I	L	
mlz	A	SIL	mlz					Malaynon	I	L	SIL
mma	A	SIL	mma					Mama	I	L	SIL
mmb	A	SIL	mmb					Momina	I	L	SIL
mmc	A	SIL	mmc					Michoacán Mazahua	I	L	SIL
mmd	A	SIL	mmd					Maonan	I	L	SIL
mme	A	SIL	mme					Mae	I	L	SIL
mmf	A	SIL	mmf					Mundat	I	L	SIL
mmg	A	SIL	mmg					North Ambrym	I	L	SIL
mmh	A	SIL	mmh					Mehináku	I	L	SIL
mmi	A	SIL	mmi					Musar	I	L	SIL
mmj	A	SIL	mmj					Majhwar	I	L	SIL
mmk	A	SIL	mmk					Mukha-Dora	I	L	SIL
mml	A	SIL	mml					Man Met	I	L	SIL
mmm	A	SIL	mmm					Maii	I	L	SIL
mmn	A	SIL	mmn					Mamanwa	I	L	SIL
mmo	A	SIL	mmo					Mangga Buang	I	L	SIL
mmp	A	SIL	mmp					Siawi	I	L	SIL
mmq	A	SIL	mmq					Musak	I	L	SIL
mmr	A	SIL	mmr					Western Xiangxi Miao	I	L	SIL
mms	R	SIL	mms					Southern Mam	I	L	
mmt	A	SIL	mmt					Malalamai	I	L	SIL
mmu	A	SIL	mmu					Mmaala	I	L	SIL
mmv	A	SIL	mmv					Miriti	I	E	SIL
mmw	A	SIL	mmw					Emae	I	L	SIL
mmx	A	SIL	mmx					Madak	I	L	SIL
mmy	A	SIL	mmy					Migaama	I	L	SIL
mmz	A	SIL	mmz					Mabaale	I	L	SIL
mna	A	SIL	mna					Mbula	I	L	SIL
mnb	A	SIL	mnb					Muna	I	L	SIL
mnc	A	JAC	mnc	mnc				Manchu	I	L	SIL
mnd	A	SIL	mnd					Mondé	I	L	SIL
mne	A	SIL	mne					Naba	I	L	SIL
mnf	A	SIL	mnf					Mundani	I	L	SIL
mng	A	SIL	mng					Eastern Mnong	I	L	SIL
mnh	A	SIL	mnh					Mono (Democratic Republic of Congo)	I	L	SIL
mni	A	JAC	mni	mni				Manipuri	I	L	SIL
mnj	A	SIL	mnj					Munji	I	L	SIL
mnk	A	SIL	mnk					Mandinka	I	L	SIL
mnl	A	SIL	mnl					Tiale	I	L	SIL
mnm	A	SIL	mnm					Mapena	I	L	SIL
mnn	A	SIL	mnn					Southern Mnong	I	L	SIL
mno	A	JAC		mno				Manobo languages	C	Genetic	
mnp	A	SIL	mnp					Min Bei Chinese	I	L	SIL
mnq	A	SIL	mnq					Minriq	I	L	SIL
mnr	A	SIL	mnr					Mono (USA)	I	L	SIL
mns	A	SIL	mns					Mansi	I	L	SIL
mnt	A	SIL	mnt					Maykulan	I	E	SIL
mnu	A	SIL	mnu					Mer	I	L	SIL
mnv	A	SIL	mnv					Rennell-Bellona	I	L	SIL
mnw	A	SIL	mnw					Mon	I	L	SIL
mnx	A	SIL	mnx					Manikion	I	L	SIL
mny	A	SIL	mny					Manyawa	I	L	SIL
mnz	A	SIL	mnz					Moni	I	L	SIL
moa	A	SIL	moa					Mwan	I	L	SIL
mob	R	SIL	mob					Moinba	I	L	
moc	A	SIL	moc					Mocoví	I	L	SIL
mod	A	LL	mod					Mobilian	I	E	
moe	A	SIL	moe					Montagnais	I	L	SIL
mof	R	SIL	mof					Mohegan-Montauk-Narragansett	I	E	
mog	A	SIL	mog					Mongondow	I	L	SIL
moh	A	JAC	moh	moh				Mohawk	I	L	SIL
moi	A	SIL	moi					Mboi	I	L	SIL
moj	A	SIL	moj					Monzombo	I	L	SIL
mok	A	SIL	mok					Morori	I	L	SIL
mol	R	JAC	mol	mol			mo	Moldavian	I	L	
mom	A	SIL	mom					Mangue	I	E	SIL
mon	A	JAC	mon	mon			mn	Mongolian	M	L	
moo	A	SIL	moo					Monom	I	L	SIL
mop	A	SIL	mop					Mopán Maya	I	L	SIL
moq	A	SIL	moq					Mor (Bomberai Peninsula)	I	L	SIL
mor	A	SIL	mor					Moro	I	L	SIL
mos	A	JAC	mos	mos				Mossi	I	L	SIL
mot	A	SIL	mot					Barí	I	L	SIL
mou	A	SIL	mou					Mogum	I	L	SIL
mov	A	SIL	mov					Mohave	I	L	SIL
mow	A	SIL	mow					Moi (Congo)	I	L	SIL
mox	A	SIL	mox					Molima	I	L	SIL
moy	A	SIL	moy					Shekkacho	I	L	SIL
moz	A	SIL	moz					Mukulu	I	L	SIL
mpa	A	SIL	mpa					Mpoto	I	L	SIL
mpb	A	SIL	mpb					Mullukmulluk	I	L	SIL
mpc	A	SIL	mpc					Mangarayi	I	L	SIL
mpd	A	SIL	mpd					Machinere	I	L	SIL
mpe	A	SIL	mpe					Majang	I	L	SIL
mpf	R	SIL	mpf					Tajumulco Mam	I	L	
mpg	A	SIL	mpg					Marba	I	L	SIL
mph	A	SIL	mph					Maung	I	L	SIL
mpi	A	SIL	mpi					Mpade	I	L	SIL
mpj	A	SIL	mpj					Martu Wangka	I	L	SIL
mpk	A	SIL	mpk					Mbara (Chad)	I	L	SIL
mpl	A	SIL	mpl					Middle Watut	I	L	SIL
mpm	A	SIL	mpm					Yosondúa Mixtec	I	L	SIL
mpn	A	SIL	mpn					Mindiri	I	L	SIL
mpo	A	SIL	mpo					Miu	I	L	SIL
mpp	A	SIL	mpp					Migabac	I	L	SIL
mpq	A	SIL	mpq					Matís	I	L	SIL
mpr	A	SIL	mpr					Vangunu	I	L	SIL
mps	A	SIL	mps					Dadibi	I	L	SIL
mpt	A	SIL	mpt					Mian	I	L	SIL
mpu	A	SIL	mpu					Makuráp	I	L	SIL
mpv	A	SIL	mpv					Mungkip	I	L	SIL
mpw	A	SIL	mpw					Mapidian	I	L	SIL
mpx	A	SIL	mpx					Misima-Panaeati	I	L	SIL
mpy	A	SIL	mpy					Mapia	I	L	SIL
mpz	A	SIL	mpz					Mpi	I	L	SIL
mqa	A	SIL	mqa					Maba (Indonesia)	I	L	SIL
mqb	A	SIL	mqb					Mbuko	I	L	SIL
mqc	A	SIL	mqc					Mangole	I	L	SIL
mqd	R	SIL	mqd					Madang	I	L	
mqe	A	SIL	mqe					Matepi	I	L	SIL
mqf	A	SIL	mqf					Momuna	I	L	SIL
mqg	A	SIL	mqg					Kota Bangun Kutai Malay	I	L	SIL
mqh	A	SIL	mqh					Tlazoyaltepec Mixtec	I	L	SIL
mqi	A	SIL	mqi					Mariri	I	L	SIL
mqj	A	SIL	mqj					Mamasa	I	L	SIL
mqk	A	SIL	mqk					Rajah Kabunsuwan Manobo	I	L	SIL
mql	A	SIL	mql					Mbelime	I	L	SIL
mqm	A	SIL	mqm					South Marquesan	I	L	SIL
mqn	A	SIL	mqn					Moronene	I	L	SIL
mqo	A	SIL	mqo					Modole	I	L	SIL
mqp	A	SIL	mqp					Manipa	I	L	SIL
mqq	A	SIL	mqq					Minokok	I	L	SIL
mqr	A	SIL	mqr					Mander	I	L	SIL
mqs	A	SIL	mqs					West Makian	I	L	SIL
mqt	A	SIL	mqt					Mok	I	L	SIL
mqu	A	SIL	mqu					Mandari	I	L	SIL
mqv	A	SIL	mqv					Mosimo	I	L	SIL
mqw	A	SIL	mqw					Murupi	I	L	SIL
mqx	A	SIL	mqx					Mamuju	I	L	SIL
mqy	A	SIL	mqy					Manggarai	I	L	SIL
mqz	A	SIL	mqz					Pano	I	L	SIL
mra	A	SIL	mra					Mlabri	I	L	SIL
mrb	A	SIL	mrb					Marino	I	L	SIL
mrc	A	SIL	mrc					Maricopa	I	L	SIL
mrd	A	SIL	mrd					Western Magar	I	L	SIL
mre	A	LL	mre					Martha's Vineyard Sign Language	I	E	
mrf	A	SIL	mrf					Elseng	I	L	SIL
mrg	A	SIL	mrg					Mising	I	L	SIL
mrh	A	SIL	mrh					Mara Chin	I	L	SIL
mri	A	JAC	mri	mri	mao	mao	mi	Maori	I	L	SIL
mrj	A	SIL	mrj					Western Mari	I	L	SIL
mrk	A	SIL	mrk					Hmwaveke	I	L	SIL
mrl	A	SIL	mrl					Mortlockese	I	L	SIL
mrm	A	SIL	mrm					Merlav	I	L	SIL
mrn	A	SIL	mrn					Cheke Holo	I	L	SIL
mro	A	SIL	mro					Mru	I	L	SIL
mrp	A	SIL	mrp					Morouas	I	L	SIL
mrq	A	SIL	mrq					North Marquesan	I	L	SIL
mrr	A	SIL	mrr					Maria (India)	I	L	SIL
mrs	A	SIL	mrs					Maragus	I	L	SIL
mrt	A	SIL	mrt					Marghi Central	I	L	SIL
mru	A	SIL	mru					Mono (Cameroon)	I	L	SIL
mrv	A	SIL	mrv					Mangareva	I	L	SIL
mrw	A	SIL	mrw					Maranao	I	L	SIL
mrx	A	SIL	mrx					Maremgi	I	L	SIL
mry	A	SIL	mry					Mandaya	I	L	SIL
mrz	A	SIL	mrz					Marind	I	L	SIL
msa	A	JAC	msa	msa	may	may	ms	Malay (macrolanguage)	M	L	
msb	A	SIL	msb					Masbatenyo	I	L	SIL
msc	A	SIL	msc					Sankaran Maninka	I	L	SIL
msd	A	SIL	msd					Yucatec Maya Sign Language	I	L	SIL
mse	A	SIL	mse					Musey	I	L	SIL
msf	A	SIL	msf					Mekwei	I	L	SIL
msg	A	SIL	msg					Moraid	I	L	SIL
msh	A	SIL	msh					Masikoro Malagasy	I	L	SIL
msi	A	SIL	msi					Sabah Malay	I	L	SIL
msj	A	SIL	msj					Ma (Democratic Republic of Congo)	I	L	SIL
msk	A	SIL	msk					Mansaka	I	L	SIL
msl	A	SIL	msl					Molof	I	L	SIL
msm	A	SIL	msm					Agusan Manobo	I	L	SIL
msn	A	SIL	msn					Vurës	I	L	SIL
mso	A	SIL	mso					Mombum	I	L	SIL
msp	A	SIL	msp					Maritsauá	I	E	SIL
msq	A	SIL	msq					Caac	I	L	SIL
msr	A	SIL	msr					Mongolian Sign Language	I	L	SIL
mss	A	SIL	mss					West Masela	I	L	SIL
mst	R	SIL	mst					Cataelano Mandaya	I	L	
msu	A	SIL	msu					Musom	I	L	SIL
msv	A	SIL	msv					Maslam	I	L	SIL
msw	A	SIL	msw					Mansoanka	I	L	SIL
msx	A	SIL	msx					Moresada	I	L	SIL
msy	A	SIL	msy					Aruamu	I	L	SIL
msz	A	SIL	msz					Momare	I	L	SIL
mta	A	SIL	mta					Cotabato Manobo	I	L	SIL
mtb	A	SIL	mtb					Anyin Morofo	I	L	SIL
mtc	A	SIL	mtc					Munit	I	L	SIL
mtd	A	SIL	mtd					Mualang	I	L	SIL
mte	A	SIL	mte					Mono (Solomon Islands)	I	L	SIL
mtf	A	SIL	mtf					Murik (Papua New Guinea)	I	L	SIL
mtg	A	SIL	mtg					Una	I	L	SIL
mth	A	SIL	mth					Munggui	I	L	SIL
mti	A	SIL	mti					Maiwa (Papua New Guinea)	I	L	SIL
mtj	A	SIL	mtj					Moskona	I	L	SIL
mtk	A	SIL	mtk					Mbe'	I	L	SIL
mtl	A	SIL	mtl					Montol	I	L	SIL
mtm	A	LL	mtm					Mator	I	E	
mtn	A	SIL	mtn					Matagalpa	I	E	SIL
mto	A	SIL	mto					Totontepec Mixe	I	L	SIL
mtp	A	SIL	mtp					Wichí Lhamtés Nocten	I	L	SIL
mtq	A	SIL	mtq					Muong	I	L	SIL
mtr	A	SIL	mtr					Mewari	I	L	SIL
mts	A	SIL	mts					Yora	I	L	SIL
mtt	A	SIL	mtt					Mota	I	L	SIL
mtu	A	SIL	mtu					Tututepec Mixtec	I	L	SIL
mtv	A	SIL	mtv					Asaro'o	I	L	SIL
mtw	A	SIL	mtw					Southern Binukidnon	I	L	SIL
mtx	A	SIL	mtx					Tidaá Mixtec	I	L	SIL
mty	A	SIL	mty					Nabi	I	L	SIL
mtz	R	SIL	mtz					Tacanec	I	L	
mua	A	SIL	mua					Mundang	I	L	SIL
mub	A	SIL	mub					Mubi	I	L	SIL
muc	A	SIL	muc					Mbu'	I	L	SIL
mud	A	SIL	mud					Mednyj Aleut	I	L	SIL
mue	A	SIL	mue					Media Lengua	I	L	SIL
