table with row headers in column A and column headers in rows 3 through 4,,,,,,,,,,
"Table 1. Annual Estimates of the Resident Population for Incorporated Places Over 50,000, Ranked by July 1, 2011 Population: April 1, 2010 to July 1, 2011",,,,,,,,,,
Rank,Geographic Area,,"April 1, 2010",,Population Estimate (as of July 1),,,,,
51,New Orleans city,Louisiana,"343,829","343,829","347,907","360,740",,,,
52,Bakersfield city,California,"347,483","347,462","348,541","352,428",,,,
53,Tampa city,Florida,"335,709","335,709","336,820","346,037",,,,
54,Anaheim city,California,"336,265","336,265","337,089","341,361",,,,
55,Urban Honolulu CDP,Hawaii,"337,256","337,256","338,119","340,936",,,,
56,Aurora city,Colorado,"325,078","325,078","326,650","332,354",,,,
57,Santa Ana city,California,"324,528","324,528","325,321","329,427",,,,
58,St. Louis city,Missouri,"319,294","319,294","319,008","318,069",,,,
59,Riverside city,California,"303,871","303,871","305,679","310,651",,,,
60,Corpus Christi city,Texas,"305,215","305,215","305,349","307,953",,,,
61,Pittsburgh city,Pennsylvania,"305,704","305,704","306,956","307,484",,,,
62,Lexington-Fayette urban county,Kentucky,"295,803","295,803","296,792","301,569",,,,
63,Stockton city,California,"291,707","291,707","292,711","296,357",,,,
64,Cincinnati city,Ohio,"296,943","296,950","296,797","296,223",,,,
65,Anchorage municipality,Alaska,"291,826","291,826","293,356","295,570",,,,
66,St. Paul city,Minnesota,"285,068","285,068","285,414","288,448",,,,
67,Toledo city,Ohio,"287,208","287,208","287,031","286,038",,,,
68,Newark city,New Jersey,"277,140","277,140","277,185","277,540",,,,
69,Greensboro city,North Carolina,"269,666","269,668","270,364","273,425",,,,
70,Plano city,Texas,"259,841","259,841","261,888","269,776",,,,
71,Lincoln city,Nebraska,"258,379","258,381","259,044","262,341",,,,
72,Buffalo city,New York,"261,310","261,310","261,229","261,025",,,,
73,Henderson city,Nevada,"257,729","257,581","257,934","260,068",,,,
74,Fort Wayne city,Indiana,"253,691","253,691","254,015","255,824",,,,
75,Jersey City city,New Jersey,"247,597","247,597","247,876","250,323",,,,
76,Chula Vista city,California,"243,916","243,916","244,710","247,535",,,,
77,St. Petersburg city,Florida,"244,769","244,769","244,683","244,997",,,,
78,Orlando city,Florida,"238,300","238,304","238,902","243,195",,,,
79,Norfolk city,Virginia,"242,803","242,803","242,915","242,628",,,,
80,Laredo city,Texas,"236,091","236,100","237,252","241,935",,,,
81,Chandler city,Arizona,"236,123","236,139","236,619","240,101",,,,
82,Madison city,Wisconsin,"233,209","233,209","233,732","236,901",,,,
83,Lubbock city,Texas,"229,573","229,573","230,713","233,740",,,,
84,Durham city,North Carolina,"228,330","228,329","229,027","233,252",,,,
85,Winston-Salem city,North Carolina,"229,617","229,617","230,077","232,385",,,,
86,Garland city,Texas,"226,876","226,876","227,559","231,517",,,,
87,Glendale city,Arizona,"226,721","226,724","227,180","230,482",,,,
88,Baton Rouge city,Louisiana,"229,493","229,493","229,852","230,139",,,,
89,Hialeah city,Florida,"224,669","224,669","225,269","229,969",,,,
90,Reno city,Nevada,"225,221","225,229","225,717","227,511",,,,
91,Chesapeake city,Virginia,"222,209","222,209","223,052","225,050",,,,
92,Scottsdale city,Arizona,"217,385","217,385","217,826","221,020",,,,
93,Irving city,Texas,"216,290","216,290","216,942","220,702",,,,
94,North Las Vegas city,Nevada,"216,961","216,940","217,236","219,020",,,,
95,Fremont city,California,"214,089","214,089","214,490","216,916",,,,
96,Irvine city,California,"212,375","212,375","212,886","215,529",,,,
97,San Bernardino city,California,"209,924","209,947","210,638","213,012",,,,
98,Birmingham city,Alabama,"212,237","212,244","212,225","212,413",,,,
99,Gilbert town,Arizona,"208,453","208,453","208,876","211,951",,,,
100,Rochester city,New York,"210,565","210,565","210,578","210,855",,,,
101,Boise City city,Idaho,"205,671","205,671","206,252","210,145",,,,
102,Spokane city,Washington,"208,916","208,916","209,296","210,103",,,,
103,Montgomery city,Alabama,"205,764","205,771","206,083","208,182",,,,
104,Des Moines city,Iowa,"203,433","203,433","204,191","206,599",,,,
105,Richmond city,Virginia,"204,214","204,214","204,159","205,533",,,,
106,Fayetteville city,North Carolina,"200,564","200,564","201,022","203,945",,,,
107,Modesto city,California,"201,165","201,165","201,541","202,751",,,,
108,Shreveport city,Louisiana,"199,311","199,311","199,819","200,975",,,,
109,Tacoma city,Washington,"198,397","198,397","198,434","200,678",,,,
110,Oxnard city,California,"197,899","197,899","198,412","199,943",,,,
111,Aurora city,Illinois,"197,899","197,897","198,288","199,672",,,,
112,Fontana city,California,"196,069","196,069","196,737","199,028",,,,
113,Akron city,Ohio,"199,110","199,110","199,005","198,402",,,,
114,Moreno Valley city,California,"193,365","193,365","194,557","197,838",,,,
115,Yonkers city,New York,"195,976","195,979","196,223","197,399",,,,
116,Augusta-Richmond County consolidated government (balance),Georgia,"195,844","195,844","196,175","196,494",,,,
117,Little Rock city,Arkansas,"193,524","193,524","193,944","195,314",,,,
118,Mobile city,Alabama,"195,111","195,107","195,166","194,914",,,,
119,Columbus city,Georgia,"189,885","189,885","190,371","194,107",,,,
120,Amarillo city,Texas,"190,695","190,695","191,398","193,675",,,,
121,Glendale city,California,"191,719","191,719","191,883","193,111",,,,
122,Huntington Beach city,California,"189,992","189,992","190,460","192,888",,,,
123,Salt Lake City city,Utah,"186,440","186,443","187,082","189,899",,,,
124,Grand Rapids city,Michigan,"188,040","188,041","188,166","189,815",,,,
125,Tallahassee city,Florida,"181,376","181,376","181,626","182,965",,,,
126,Huntsville city,Alabama,"180,105","180,120","180,829","182,956",,,,
127,Worcester city,Massachusetts,"181,045","181,045","181,208","181,631",,,,
128,Knoxville city,Tennessee,"178,874","178,874","179,225","180,761",,,,
129,Newport News city,Virginia,"180,719","180,719","180,618","179,611",,,,
130,Grand Prairie city,Texas,"175,396","175,396","175,994","179,100",,,,
131,Brownsville city,Texas,"175,023","175,027","175,764","178,430",,,,
132,Providence city,Rhode Island,"178,042","178,042","178,077","178,053",,,,
133,Santa Clarita city,California,"176,320","176,320","176,469","177,601",,,,
134,Overland Park city,Kansas,"173,372","173,372","173,870","176,185",,,,
135,Jackson city,Mississippi,"173,514","173,516","173,707","175,561",,,,
136,Garden Grove city,California,"170,883","170,883","171,302","173,470",,,,
137,Chattanooga city,Tennessee,"167,674","167,978","168,393","170,136",,,,
138,Oceanside city,California,"167,086","167,086","167,630","169,569",,,,
139,Santa Rosa city,California,"167,815","167,821","168,109","169,292",,,,
140,Fort Lauderdale city,Florida,"165,521","165,521","165,900","168,528",,,,
141,Rancho Cucamonga city,California,"165,269","165,269","165,823","167,721",,,,
142,Ontario city,California,"163,924","163,924","164,482","166,390",,,,
143,Port St. Lucie city,Florida,"164,603","164,603","165,166","166,149",,,,
144,Vancouver city,Washington,"161,791","161,807","162,432","164,759",,,,
145,Tempe city,Arizona,"161,719","161,719","162,029","164,268",,,,
146,Springfield city,Missouri,"159,498","159,509","159,634","160,660",,,,
147,Lancaster city,California,"156,633","156,633","156,743","157,693",,,,
148,Pembroke Pines city,Florida,"154,750","154,750","155,109","157,594",,,,
149,Cape Coral city,Florida,"154,305","154,305","154,734","157,476",,,,
150,Eugene city,Oregon,"156,185","156,191","156,260","156,929",,,,
151,Peoria city,Arizona,"154,065","154,067","154,378","156,637",,,,
152,Sioux Falls city,South Dakota,"153,888","153,890","154,443","156,592",,,,
153,Salem city,Oregon,"154,637","154,637","155,029","156,244",,,,
154,Corona city,California,"152,374","152,374","153,314","155,896",,,,
155,Elk Grove city,California,"153,015","153,015","153,377","154,908",,,,
156,Palmdale city,California,"152,750","152,750","152,880","153,867",,,,
157,Springfield city,Massachusetts,"153,060","153,060","153,134","153,155",,,,
158,Salinas city,California,"150,441","150,441","150,929","152,994",,,,
159,Pasadena city,Texas,"149,043","149,043","149,661","152,281",,,,
160,Rockford city,Illinois,"152,871","152,871","152,807","152,222",,,,
161,Pomona city,California,"149,058","149,058","149,182","150,119",,,,
162,Joliet city,Illinois,"147,433","147,440","147,745","148,402",,,,
163,Fort Collins city,Colorado,"143,986","143,991","144,425","146,762",,,,
164,Torrance city,California,"145,438","145,438","145,561","146,493",,,,
165,Kansas City city,Kansas,"145,786","145,786","146,070","146,453",,,,
166,Paterson city,New Jersey,"146,199","146,199","146,309","146,427",,,,
167,Hayward city,California,"144,186","144,186","144,451","146,069",,,,
168,Escondido city,California,"143,911","143,911","144,375","146,032",,,,
169,Bridgeport city,Connecticut,"144,229","144,229","144,463","145,638",,,,
170,Syracuse city,New York,"145,170","145,170","145,237","145,151",,,,
171,Lakewood city,Colorado,"142,980","142,980","143,224","144,406",,,,
172,Alexandria city,Virginia,"139,966","139,966","140,894","144,301",,,,
173,Hollywood city,Florida,"140,768","140,768","141,095","143,357",,,,
174,Naperville city,Illinois,"141,853","141,853","142,051","142,773",,,,
175,Mesquite city,Texas,"139,824","139,824","140,245","142,674",,,,
176,Sunnyvale city,California,"140,081","140,081","140,449","142,287",,,,
177,Dayton city,Ohio,"141,527","141,527","141,696","142,148",,,,
178,Cary town,North Carolina,"135,234","135,249","136,135","139,633",,,,
179,Savannah city,Georgia,"136,286","136,280","136,565","139,491",,,,
180,Orange city,California,"136,416","136,416","136,739","138,409",,,,
181,Pasadena city,California,"137,122","137,122","137,238","138,101",,,,
182,Fullerton city,California,"135,161","135,161","135,488","137,183",,,,
183,Hampton city,Virginia,"137,436","137,436","137,328","136,401",,,,
184,Clarksville city,Tennessee,"132,929","132,934","133,680","136,231",,,,
185,McKinney city,Texas,"131,117","131,117","132,140","136,067",,,,
186,Warren city,Michigan,"134,056","134,056","134,051","134,243",,,,
187,McAllen city,Texas,"129,877","129,877","130,759","133,742",,,,
188,West Valley City city,Utah,"129,480","129,480","129,935","131,942",,,,
189,Columbia city,South Carolina,"129,272","129,276","129,612","130,591",,,,
190,Killeen city,Texas,"127,921","127,921","129,030","130,018",,,,
191,Sterling Heights city,Michigan,"129,699","129,699","129,693","129,880",,,,
192,New Haven city,Connecticut,"129,779","129,779","129,774","129,585",,,,
193,Topeka city,Kansas,"127,473","127,473","127,717","128,188",,,,
194,Thousand Oaks city,California,"126,683","126,683","127,009","127,984",,,,
195,Olathe city,Kansas,"125,872","125,872","126,234","127,907",,,,
196,Cedar Rapids city,Iowa,"126,326","126,326","126,528","127,905",,,,
197,Waco city,Texas,"124,805","124,805","125,351","126,697",,,,
198,Visalia city,California,"124,442","124,442","124,816","126,432",,,,
199,Elizabeth city,New Jersey,"124,969","124,969","125,195","125,660",,,,
200,Simi Valley city,California,"124,237","124,237","124,559","125,522",,,,
201,Gainesville city,Florida,"124,354","124,354","124,394","125,326",,,,
202,Hartford city,Connecticut,"124,775","124,775","124,789","124,867",,,,
203,Bellevue city,Washington,"122,363","122,359","122,737","124,798",,,,
204,Miramar city,Florida,"122,041","122,041","122,327","124,302",,,,
205,Concord city,California,"122,067","122,067","122,484","124,055",,,,
206,Stamford city,Connecticut,"122,643","122,643","122,848","123,868",,,,
207,Coral Springs city,Florida,"121,096","121,098","121,382","123,338",,,,
208,Charleston city,South Carolina,"120,083","120,083","120,479","122,689",,,,
209,Carrollton city,Texas,"119,097","119,097","119,729","122,640",,,,
210,Lafayette city,Louisiana,"120,623","120,621","120,905","122,130",,,,
211,Roseville city,California,"118,788","118,788","119,403","121,767",,,,
212,Thornton city,Colorado,"118,772","118,775","119,334","121,435",,,,
213,Frisco city,Texas,"116,989","116,989","117,871","121,387",,,,
214,Kent city,Washington,"92,411","118,564","118,929","120,916",,,,
215,Surprise city,Arizona,"117,517","117,517","117,755","119,489",,,,
216,Allentown city,Pennsylvania,"118,032","118,032","118,232","119,141",,,,
217,Beaumont city,Texas,"118,296","118,296","118,347","118,548",,,,
218,Santa Clara city,California,"116,468","116,468","116,767","118,263",,,,
219,Abilene city,Texas,"117,063","117,063","117,404","118,117",,,,
220,Evansville city,Indiana,"117,429","117,429","117,483","117,825",,,,
221,Victorville city,California,"115,903","115,921","116,299","117,597",,,,
222,Independence city,Missouri,"116,830","116,830","116,969","117,213",,,,
223,Denton city,Texas,"113,383","113,379","114,103","117,187",,,,
224,Springfield city,Illinois,"116,250","116,272","116,479","117,076",,,,
225,Vallejo city,California,"115,942","115,940","116,161","116,829",,,,
226,Athens-Clarke County unified government (balance),Georgia,"115,452","115,453","115,450","116,084",,,,
227,Provo city,Utah,"112,488","112,488","113,153","115,321",,,,
228,Peoria city,Illinois,"115,007","115,025","114,895","115,234",,,,
229,Ann Arbor city,Michigan,"113,934","113,934","114,076","114,925",,,,
230,Lansing city,Michigan,"114,297","114,297","114,247","114,605",,,,
231,El Monte city,California,"113,475","113,475","113,571","114,296",,,,
232,Midland city,Texas,"111,147","111,147","111,255","113,931",,,,
233,Berkeley city,California,"112,580","112,578","112,765","113,905",,,,
234,Norman city,Oklahoma,"110,925","110,925","111,426","113,273",,,,
235,Downey city,California,"111,772","111,772","111,868","112,584",,,,
236,Costa Mesa city,California,"109,960","109,960","110,225","111,600",,,,
237,Murfreesboro city,Tennessee,"108,755","108,767","109,240","111,327",,,,
238,Inglewood city,California,"109,673","109,673","109,765","110,464",,,,
239,Columbia city,Missouri,"108,500","108,500","108,857","110,438",,,,
240,Waterbury city,Connecticut,"110,366","110,366","110,360","110,189",,,,
241,Manchester city,New Hampshire,"109,565","109,565","109,634","109,830",,,,
242,Miami Gardens city,Florida,"107,167","107,167","107,452","109,680",,,,
243,Elgin city,Illinois,"108,188","108,188","108,395","109,104",,,,
244,Wilmington city,North Carolina,"106,476","106,476","106,785","108,297",,,,
245,Westminster city,Colorado,"106,114","106,114","106,486","107,967",,,,
246,Rochester city,Minnesota,"106,769","106,769","106,943","107,890",,,,
247,Clearwater city,Florida,"107,685","107,685","107,648","107,784",,,,
248,Lowell city,Massachusetts,"106,519","106,519","106,706","107,584",,,,
249,Pueblo city,Colorado,"106,595","106,595","106,864","107,577",,,,
250,Arvada city,Colorado,"106,433","106,433","106,627","107,541",,,,
251,San Buenaventura (Ventura) city,California,"106,433","106,433","106,706","107,514",,,,
252,Gresham city,Oregon,"105,594","105,594","105,905","107,439",,,,
253,Fargo city,North Dakota,"105,549","105,549","105,884","107,349",,,,
254,Carlsbad city,California,"105,328","105,328","105,671","106,888",,,,
255,West Covina city,California,"106,098","106,098","106,188","106,870",,,,
256,Norwalk city,California,"105,549","105,549","105,639","106,309",,,,
257,Fairfield city,California,"105,321","105,323","105,524","106,126",,,,
258,Cambridge city,Massachusetts,"105,162","105,162","105,280","106,038",,,,
259,Murrieta city,California,"103,466","103,466","104,104","105,857",,,,
260,Green Bay city,Wisconsin,"104,057","104,057","104,567","105,809",,,,
261,High Point city,North Carolina,"104,371","104,371","104,627","105,753",,,,
262,West Jordan city,Utah,"103,712","103,712","104,075","105,675",,,,
263,Billings city,Montana,"104,170","104,170","104,505","105,636",,,,
264,Richmond city,California,"103,701","103,701","104,053","105,380",,,,
265,Round Rock city,Texas,"99,887","99,889","100,870","104,664",,,,
266,Everett city,Washington,"103,019","103,019","103,305","104,295",,,,
267,Burbank city,California,"103,340","103,340","103,428","104,092",,,,
268,Antioch city,California,"102,372","102,372","102,724","104,044",,,,
269,Wichita Falls city,Texas,"104,553","104,553","104,679","103,931",,,,
270,Palm Bay city,Florida,"103,190","103,190","103,278","103,227",,,,
271,Centennial city,Colorado,"100,377","100,377","100,861","102,603",,,,
272,Temecula city,California,"100,097","100,146","100,766","102,464",,,,
273,Daly City city,California,"101,123","101,123","101,286","102,362",,,,
274,Odessa city,Texas,"99,940","99,940","99,962","102,106",,,,
275,Erie city,Pennsylvania,"101,786","101,786","101,826","101,807",,,,
276,Richardson city,Texas,"99,223","99,223","99,660","101,742",,,,
277,Pompano Beach city,Florida,"99,845","99,845","100,070","101,617",,,,
278,Flint city,Michigan,"102,434","102,434","102,271","101,558",,,,
279,South Bend city,Indiana,"101,168","101,170","101,139","101,081",,,,
280,West Palm Beach city,Florida,"99,919","99,920","100,128","101,043",,,,
281,El Cajon city,California,"99,478","99,478","99,796","100,928",,,,
282,Davenport city,Iowa,"99,685","99,685","100,003","100,802",,,,
283,Rialto city,California,"99,171","99,170","99,508","100,662",,,,
284,Santa Maria city,California,"99,553","99,553","99,730","100,277",,,,
285,Broken Arrow city,Oklahoma,"98,850","98,847","99,195","100,073",,,,
286,Kenosha city,Wisconsin,"99,218","99,226","99,379","99,738",,,,
287,North Charleston city,South Carolina,"97,471","97,471","97,868","99,727",,,,
288,Las Cruces city,New Mexico,"97,618","97,618","98,200","99,665",,,,
289,Boulder city,Colorado,"97,385","97,385","97,574","98,889",,,,
290,Lewisville city,Texas,"95,290","95,290","95,944","98,737",,,,
291,Lakeland city,Florida,"97,422","97,419","97,551","98,589",,,,
292,Tyler city,Texas,"96,900","96,900","97,250","98,564",,,,
293,San Mateo city,California,"97,207","97,207","97,363","98,391",,,,
294,Lawton city,Oklahoma,"96,867","96,867","97,873","98,177",,,,
295,Albany city,New York,"97,856","97,856","97,760","97,660",,,,
296,Compton city,California,"96,455","96,455","96,537","97,156",,,,
297,Dearborn city,Michigan,"98,153","98,153","97,861","97,144",,,,
298,Clovis city,California,"95,631","95,631","95,915","96,929",,,,
299,Sandy Springs city,Georgia,"93,853","93,853","94,384","96,856",,,,
300,Roanoke city,Virginia,"97,032","97,032","96,856","96,714",,,,
301,Livonia city,Michigan,"96,942","96,942","96,658","95,958",,,,
302,Portsmouth city,Virginia,"95,535","95,535","95,627","95,684",,,,
303,Vista city,California,"93,834","93,834","94,136","95,204",,,,
304,New Bedford city,Massachusetts,"95,072","95,072","95,115","95,183",,,,
305,College Station city,Texas,"93,857","93,862","94,232","95,142",,,,
306,South Gate city,California,"94,396","94,396","94,477","95,084",,,,
307,Greeley city,Colorado,"92,889","92,889","93,395","94,962",,,,
308,Mission Viejo city,California,"93,305","93,305","93,534","94,721",,,,
309,San Angelo city,Texas,"93,200","93,200","93,562","94,544",,,,
310,Yuma city,Arizona,"93,064","93,066","93,436","94,536",,,,
311,Brockton city,Massachusetts,"93,810","93,810","93,965","94,316",,,,
312,Davie town,Florida,"91,992","91,992","92,205","93,674",,,,
313,Hillsboro city,Oregon,"91,611","91,611","91,939","93,455",,,,
314,Pearland city,Texas,"91,252","91,252","91,695","93,305",,,,
315,Vacaville city,California,"92,428","92,428","92,593","93,088",,,,
316,Quincy city,Massachusetts,"92,271","92,271","92,445","92,909",,,,
317,Renton city,Washington,"90,927","90,995","91,278","92,812",,,,
318,Yakima city,Washington,"91,067","91,067","91,509","92,512",,,,
319,Carson city,California,"91,714","91,714","91,790","92,376",,,,
320,Macon city,Georgia,"91,351","91,346","91,416","91,856",,,,
321,Lee's Summit city,Missouri,"91,364","91,364","91,477","91,668",,,,
322,Beaverton city,Oregon,"89,803","89,806","90,128","91,625",,,,
323,Tuscaloosa city,Alabama,"90,468","90,483","90,633","91,605",,,,
324,Hesperia city,California,"90,173","90,173","90,481","91,534",,,,
325,Sparks city,Nevada,"90,264","90,264","90,463","91,195",,,,
326,Roswell city,Georgia,"88,346","88,347","88,846","91,168",,,,
327,Federal Way city,Washington,"89,306","89,306","89,583","91,085",,,,
328,Westminster city,California,"89,701","89,701","89,920","91,064",,,,
329,Lynn city,Massachusetts,"90,329","90,329","90,493","91,040",,,,
330,Orem city,Utah,"88,328","88,328","88,892","90,727",,,,
331,Santa Monica city,California,"89,736","89,736","89,810","90,377",,,,
332,Spokane Valley city,Washington,"89,755","89,755","89,923","90,279",,,,
333,Redding city,California,"89,861","89,861","89,904","90,138",,,,
334,Miami Beach city,Florida,"87,779","87,779","88,012","89,840",,,,
335,Waukegan city,Illinois,"89,078","89,078","89,210","89,426",,,,
336,Rio Rancho city,New Mexico,"87,521","87,521","88,071","89,320",,,,
337,Sandy city,Utah,"87,461","87,540","87,846","89,200",,,,
338,Santa Barbara city,California,"88,410","88,409","88,565","89,045",,,,
339,Fall River city,Massachusetts,"88,857","88,857","88,897","88,962",,,,
340,Lawrence city,Kansas,"87,643","87,643","87,955","88,727",,,,
341,Reading city,Pennsylvania,"88,082","88,082","88,351","88,414",,,,
342,Longmont city,Colorado,"86,270","86,270","86,450","87,712",,,,
343,Allen city,Texas,"84,246","84,246","84,913","87,473",,,,
344,Fort Smith city,Arkansas,"86,209","86,209","86,284","87,152",,,,
345,Nashua city,New Hampshire,"86,494","86,494","86,549","86,704",,,,
346,Plantation city,Florida,"84,955","84,955","85,154","86,524",,,,
347,Newport Beach city,California,"85,186","85,186","85,397","86,484",,,,
348,Norwalk city,Connecticut,"85,603","85,603","85,746","86,460",,,,
349,Chico city,California,"86,187","86,187","86,187","86,290",,,,
350,Duluth city,Minnesota,"86,265","86,265","86,230","86,277",,,,
351,San Leandro city,California,"84,950","84,950","85,108","86,071",,,,
352,Greenville city,North Carolina,"84,554","84,562","84,856","86,017",,,,
353,Sunrise city,Florida,"84,439","84,439","84,636","85,995",,,,
354,Newton city,Massachusetts,"85,146","85,146","85,276","85,945",,,,
355,Whittier city,California,"85,331","85,331","85,402","85,943",,,,
356,Boca Raton city,Florida,"84,392","84,392","84,566","85,329",,,,
357,Deltona city,Florida,"85,182","85,182","85,191","85,219",,,,
358,San Marcos city,California,"83,781","83,781","84,052","85,022",,,,
359,Suffolk city,Virginia,"84,585","84,592","84,872","84,930",,,,
360,Hawthorne city,California,"84,293","84,293","84,364","84,905",,,,
361,Trenton city,New Jersey,"84,913","84,913","85,009","84,899",,,,
362,League City city,Texas,"83,560","83,560","83,961","84,856",,,,
363,Asheville city,North Carolina,"83,393","83,393","83,574","84,458",,,,
364,Citrus Heights city,California,"83,301","83,301","83,498","84,330",,,,
365,Clifton city,New Jersey,"84,136","84,136","84,201","84,269",,,,
366,Tracy city,California,"82,922","82,922","83,213","84,266",,,,
367,Cicero town,Illinois,"83,891","83,891","83,979","84,261",,,,
368,Bloomington city,Minnesota,"82,893","82,893","83,013","84,057",,,,
369,Ogden city,Utah,"82,825","82,825","83,170","83,949",,,,
370,Alhambra city,California,"83,089","83,089","83,161","83,693",,,,
371,Westland city,Michigan,"84,094","84,094","83,847","83,239",,,,
372,Sioux City city,Iowa,"82,684","82,695","82,826","82,967",,,,
373,Edmond city,Oklahoma,"81,405","81,403","81,705","82,963",,,,
374,Nampa city,Idaho,"81,557","81,565","81,774","82,755",,,,
375,Warwick city,Rhode Island,"82,672","82,672","82,628","82,361",,,,
376,Livermore city,California,"80,968","80,968","81,121","82,039",,,,
377,Hoover city,Alabama,"81,619","81,619","81,704","82,003",,,,
378,Bellingham city,Washington,"80,885","80,885","81,069","81,862",,,,
379,Buena Park city,California,"80,530","80,524","80,721","81,747",,,,
380,Sugar Land city,Texas,"78,817","78,817","79,550","81,700",,,,
381,Danbury city,Connecticut,"80,893","80,893","81,023","81,671",,,,
382,Carmel city,Indiana,"79,191","79,191","79,734","81,564",,,,
383,Troy city,Michigan,"80,980","80,980","81,002","81,508",,,,
384,Bloomington city,Indiana,"80,405","80,407","80,675","81,381",,,,
385,Longview city,Texas,"80,455","80,455","80,572","81,336",,,,
386,Champaign city,Illinois,"81,055","81,055","81,168","81,291",,,,
387,Parma city,Ohio,"81,601","81,601","81,464","80,968",,,,
388,Hammond city,Indiana,"80,830","80,830","80,851","80,757",,,,
389,Lakewood city,California,"80,048","80,048","80,117","80,634",,,,
390,Concord city,North Carolina,"79,066","79,066","79,308","80,597",,,,
391,O'Fallon city,Missouri,"79,329","79,479","79,755","80,519",,,,
392,Hemet city,California,"78,657","78,657","79,140","80,467",,,,
393,Cranston city,Rhode Island,"80,387","80,387","80,404","80,392",,,,
394,Farmington Hills city,Michigan,"79,740","79,740","79,761","80,258",,,,
395,Merced city,California,"78,958","78,958","79,257","80,232",,,,
396,Gary city,Indiana,"80,294","80,294","80,314","80,221",,,,
397,Mission city,Texas,"77,058","77,061","77,588","79,368",,,,
398,Menifee city,California,"77,519","77,519","77,998","79,312",,,,
