Primary Census Statistical Area                                	2011 Estimate	2010 Census	CnsusID	Type	Abbr	Rank	Change	Core Based Statistical Areas
Salisbury-Ocean Pines, MD                                  	       177043	     176657	  480	CSA		 210	+0.22%	Salisbury, MD MSA | Ocean Pines, MD µSA
Joplin, MO                                                 	       176849	     175518		MSA		 211	+0.76%
Columbia, MO                                               	       175831	     172786		MSA		 212	+1.76%
Terre Haute, IN                                            	       172663	     172425		MSA		 213	+0.14%
Lumberton-Laurinburg, NC                                   	       171378	     170325	  354	CSA		 214	+0.62%	Lumberton, NC µSA | Laurinburg, NC µSA
Bloomington-Normal, IL                                     	       170556	     169572		MSA		 215	+0.58%
East Stroudsburg, PA                                       	       169882	     169842		µSA		 216	+0.02%
Panama City-Lynn Haven-Panama City Beach, FL               	       169856	     168852		MSA		 217	+0.59%
Waterloo-Cedar Falls, IA                                   	       168289	     167819		MSA		 218	+0.28%
Mansfield-Bucyrus, OH                                      	       166899	     168259	  360	CSA		 219	-0.81%	Mansfield, OH MSA | Bucyrus, OH µSA
Abilene, TX                                                	       166416	     165252		MSA		 220	+0.70%
Jonesboro-Paragould, AR                                    	       165549	     163116	  308	CSA		 221	+1.49%	Jonesboro, AR MSA | Paragould, AR µSA
Jackson-Humboldt, TN                                       	       165331	     165108	  297	CSA		 222	+0.14%	Jackson, TN MSA | Humboldt, TN µSA
Dover, DE                                                  	       164834	     162310		MSA		 223	+1.56%
Wausau-Merrill, WI                                         	       163002	     162806	  554	CSA		 224	+0.12%	Wausau, WI MSA | Merrill, WI µSA
Blacksburg-Christiansburg-Radford, VA                      	       162487	     162958		MSA		 225	-0.29%
Parkersburg-Marietta-Vienna, WV-OH                         	       162248	     162056		MSA		 226	+0.12%
Pueblo, CO                                                 	       160545	     159063		MSA		 227	+0.93%
Billings, MT                                               	       160097	     158050		MSA		 228	+1.30%
Janesville, WI                                             	       160092	     160331		MSA		 229	-0.15%
Jackson, MI                                                	       159748	     160248		MSA		 230	-0.31%
Sioux City-Vermillion, IA-NE-SD                            	       158113	     157441	  512	CSA		 231	+0.43%	Sioux City, IA-NE-SD MSA | Vermillion, SD µSA
Albany, GA                                                 	       157688	     157308		MSA		 232	+0.24%
Niles-Benton Harbor, MI                                    	       156941	     156813		MSA		 233	+0.08%
Kahului-Wailuku, HI                                        	       156674	     154834		µSA		 234	+1.19%
Williamsport-Lock Haven, PA                                	       155955	     155349	  558	CSA		 235	+0.39%	Williamsport, PA MSA | Lock Haven, PA µSA
Iowa City, IA                                              	       154893	     152586		MSA		 236	+1.51%
State College, PA                                          	       154722	     153990		MSA		 237	+0.48%
Alexandria, LA                                             	       154505	     153922		MSA		 238	+0.38%
Ottawa-Streator, IL                                        	       154092	     154908		µSA		 239	-0.53%
Bangor, ME                                                 	       153786	     153923		MSA		 240	-0.09%
Hanford-Corcoran, CA                                       	       153765	     152982		MSA		 241	+0.51%
Rocky Mount, NC                                            	       152157	     152392		MSA		 242	-0.15%
Fairmont-Clarksburg, WV                                    	       151109	     150614	  242	CSA		 243	+0.33%	Clarksburg, WV µSA | Fairmont, WV µSA
Ithaca-Cortland, NY                                        	       151086	     150900	  296	CSA		 244	+0.12%	Ithaca, NY MSA | Cortland, NY µSA
Chambersburg, PA                                           	       150811	     149618		µSA		 245	+0.80%
Jefferson City, MO                                         	       150480	     149807		MSA		 246	+0.45%
Wichita Falls, TX                                          	       150261	     151306		MSA		 247	-0.69%
Pottsville, PA                                             	       147513	     148289		µSA		 248	-0.52%
Florence-Muscle Shoals, AL                                 	       147293	     147137		MSA		 249	+0.11%
Wheeling, WV-OH                                            	       147197	     147950		MSA		 250	-0.51%
Grand Junction, CO                                         	       147083	     146723		MSA		 251	+0.25%
Hattiesburg, MS                                            	       145428	     142842		MSA		 252	+1.81%
Traverse City, MI                                          	       144411	     143372		µSA		 253	+0.72%
Johnstown, PA                                              	       143728	     143679		MSA		 254	+0.03%
Dalton, GA                                                 	       142741	     142227		MSA		 255	+0.36%
Valdosta, GA                                               	       142307	     139588		MSA		 256	+1.95%
St. George, UT                                             	       141666	     138115		MSA		 257	+2.57%
Coeur d'Alene, ID                                          	       141132	     138494		MSA		 258	+1.90%
Homosassa Springs, FL                                      	       140031	     141236		µSA		 259	-0.85%
Tupelo, MS                                                 	       137388	     136268		µSA		 260	+0.82%
Paducah-Mayfield, KY-IL                                    	       136609	     135883	  424	CSA		 261	+0.53%	Paducah, KY-IL µSA | Mayfield, KY µSA
Texarkana, TX-Texarkana, AR                                	       136552	     136027		MSA		 262	+0.39%
Cape Girardeau-Sikeston-Jackson, MO-IL                     	       136160	     135466	  164	CSA		 263	+0.51%	Cape Girardeau-Jackson, MO-IL MSA | Sikeston, MO µSA
Battle Creek, MI                                           	       135490	     136146		MSA		 264	-0.48%
Kokomo-Peru, IN                                            	       135199	     135591	  316	CSA		 265	-0.29%	Kokomo, IN MSA | Peru, IN µSA
Eureka-Arcata-Fortuna, CA                                  	       134761	     134623		µSA		 266	+0.10%
Flagstaff, AZ                                              	       134511	     134421		MSA		 267	+0.07%
La Crosse, WI-MN                                           	       134488	     133665		MSA		 268	+0.62%
Jamestown-Dunkirk-Fredonia, NY                             	       134368	     134905		µSA		 269	-0.40%
Sierra Vista-Douglas, AZ                                   	       133289	     131346		µSA		 270	+1.48%
Morgantown, WV                                             	       132251	     129709		MSA		 271	+1.96%
Findlay-Tiffin, OH                                         	       131525	     131527	  248	CSA		 272	0.00% 	Findlay, OH µSA | Tiffin, OH µSA
Pittsfield, MA                                             	       130458	     131219		MSA		 273	-0.58%
Manhattan, KS                                              	       130240	     127081		MSA		 274	+2.49%
Rapid City, SD                                             	       128361	     126382		MSA		 275	+1.57%
Farmington, NM                                             	       128200	     130044		MSA		 276	-1.42%
New Bern, NC                                               	       128003	     126802		µSA		 277	+0.95%
Bowling Green, KY                                          	       127607	     125953		MSA		 278	+1.31%
St. Joseph, MO-KS                                          	       127574	     127329		MSA		 279	+0.19%
Logan, UT-ID                                               	       127549	     125442		MSA		 280	+1.68%
Altoona, PA                                                	       127099	     127089		MSA		 281	+0.01%
Carbondale-Marion-Herrin, IL                               	       126987	     126575	  166	CSA		 282	+0.33%	Marion-Herrin, IL µSA | Carbondale, IL µSA
Harrisonburg, VA                                           	       126562	     125228		MSA		 283	+1.07%
Lawton, OK                                                 	       125815	     124098		MSA		 284	+1.38%
Beckley-Oak Hill, WV                                       	       124826	     124898	  138	CSA		 285	-0.06%	Beckley, WV µSA | Oak Hill, WV µSA
Goldsboro, NC                                              	       123697	     122623		MSA		 286	+0.88%
Steubenville-Weirton, OH-WV                                	       123243	     124454		MSA		 287	-0.97%
Hammond, LA                                                	       122571	     121097		µSA		 288	+1.22%
Augusta-Waterville, ME                                     	       121935	     122151		µSA		 289	-0.18%
Staunton-Waynesboro, VA                                    	       118629	     118502		µSA		 290	+0.11%
Watertown-Fort Drum, NY                                    	       117910	     116229		µSA		 291	+1.45%
Anniston-Oxford, AL                                        	       117797	     118572		MSA		 292	-0.65%
Muncie, IN                                                 	       117660	     117671		MSA		 293	-0.01%
Victoria, TX                                               	       116230	     115384		MSA		 294	+0.73%
Ames-Boone, IA                                             	       115918	     115848	  112	CSA		 295	+0.06%	Ames, IA MSA | Boone, IA µSA
Owensboro, KY                                              	       115333	     114752		MSA		 296	+0.51%
Sheboygan, WI                                              	       115149	     115507		MSA		 297	-0.31%
Wooster, OH                                                	       114611	     114520		µSA		 298	+0.08%
San Angelo, TX                                             	       113443	     111823		MSA		 299	+1.45%
Brunswick, GA                                              	       112923	     112370		MSA		 300	+0.49%
Wenatchee-East Wenatchee, WA                               	       112448	     110884		MSA		 301	+1.41%
Lawrence, KS                                               	       112211	     110826		MSA		 302	+1.25%
Ogdensburg-Massena, NY                                     	       111690	     111944		µSA		 303	-0.23%
Bismarck, ND                                               	       110879	     108779		MSA		 304	+1.93%
Decatur, IL                                                	       110730	     110768		MSA		 305	-0.03%
Missoula, MT                                               	       110138	     109299		MSA		 306	+0.77%
Roseburg, OR                                               	       107490	     107667		µSA		 307	-0.16%
Lexington Park, MD                                         	       107484	     105151		µSA		 308	+2.22%
Sumter, SC                                                 	       107460	     107456		MSA		 309	+0.00%
Show Low, AZ                                               	       107398	     107449		µSA		 310	-0.05%
Meridian, MS                                               	       107364	     107449		µSA		 311	-0.08%
Bluefield, WV-VA                                           	       107180	     107342		µSA		 312	-0.15%
Cookeville, TN                                             	       106498	     106042		µSA		 313	+0.43%
Danville, VA                                               	       105696	     106561		MSA		 314	-0.81%
Gadsden, AL                                                	       104303	     104430		MSA		 315	-0.12%
Whitewater, WI                                             	       102931	     102228		µSA		 316	+0.69%
Cumberland, MD-WV                                          	       102884	     103299		MSA		 317	-0.40%
Longview, WA                                               	       102478	     102410		MSA		 318	+0.07%
Twin Falls, ID                                             	       100687	      99604		µSA		 319	+1.09%
Tullahoma, TN                                              	       100344	     100210		µSA		 320	+0.13%
Adrian, MI                                                 	        99440	      99892		µSA		 321	-0.45%
Fairbanks, AK                                              	        99192	      97581		MSA		 322	+1.65%
Corning, NY                                                	        99033	      98990		µSA		 323	+0.04%
Sebring, FL                                                	        98630	      98786		µSA		 324	-0.16%
Grand Forks, ND-MN                                         	        98054	      98461		MSA		 325	-0.41%
Mankato-North Mankato, MN                                  	        97204	      96740		MSA		 326	+0.48%
Hot Springs, AR                                            	        97124	      96024		MSA		 327	+1.15%
Ocean City, NJ                                             	        96601	      97265		MSA		 328	-0.68%
Rome, GA                                                   	        95989	      96317		MSA		 329	-0.34%
Corbin-London, KY                                          	        95178	      94486	  202	CSA		 330	+0.73%	London, KY µSA | Corbin, KY µSA
Dubuque, IA                                                	        94648	      93653		MSA		 331	+1.06%
Albertville, AL                                            	        94166	      93019		µSA		 332	+1.23%
Cheyenne, WY                                               	        92680	      91738		MSA		 333	+1.03%
New Philadelphia-Dover, OH                                 	        92508	      92582		µSA		 334	-0.08%
Orangeburg, SC                                             	        91910	      92501		µSA		 335	-0.64%
Pocatello, ID                                              	        91457	      90656		MSA		 336	+0.88%
Bozeman, MT                                                	        91377	      89513		µSA		 337	+2.08%
Kalispell, MT                                              	        91301	      90928		µSA		 338	+0.41%
Moses Lake, WA                                             	        91265	      89120		µSA		 339	+2.41%
Brainerd, MN                                               	        91153	      91067		µSA		 340	+0.09%
Southern Pines-Pinehurst, NC                               	        89352	      88247		µSA		 341	+1.25%
Indiana, PA                                                	        89298	      88880		µSA		 342	+0.47%
Elmira, NY                                                 	        88840	      88830		MSA		 343	+0.01%
Meadville, PA                                              	        88740	      88765		µSA		 344	-0.03%
Fort Polk South-DeRidder, LA                               	        88236	      87988	  256	CSA		 345	+0.28%	Fort Polk South, LA µSA | De Ridder, LA µSA
Pendleton-Hermiston, OR                                    	        87894	      87062		µSA		 346	+0.96%
Lufkin, TX                                                 	        87669	      86771		µSA		 347	+1.03%
Ukiah, CA                                                  	        87553	      87841		µSA		 348	-0.33%
Zanesville, OH                                             	        86237	      86074		µSA		 349	+0.19%
Bloomsburg-Berwick, PA                                     	        85772	      85562		µSA		 350	+0.25%
Branson, MO                                                	        84999	      83877		µSA		 351	+1.34%
Laurel, MS                                                 	        84852	      84823		µSA		 352	+0.03%
Russellville, AR                                           	        84391	      83939		µSA		 353	+0.54%
Midland, MI                                                	        84063	      83629		µSA		 354	+0.52%
Watertown-Fort Atkinson, WI                                	        83943	      83686		µSA		 355	+0.31%
Grants Pass, OR                                            	        82987	      82713		µSA		 356	+0.33%
Plattsburgh, NY                                            	        81945	      82128		µSA		 357	-0.22%
Great Falls, MT                                            	        81837	      81327		MSA		 358	+0.63%
Talladega-Sylacauga, AL                                    	        81664	      82291		µSA		 359	-0.76%
Danville, IL                                               	        81509	      81625		MSA		 360	-0.14%
Wilson, NC                                                 	        81452	      81234		µSA		 361	+0.27%
DuBois, PA                                                 	        81445	      81642		µSA		 362	-0.24%
Manitowoc, WI                                              	        80976	      81442		µSA		 363	-0.57%
Columbus-West Point, MS                                    	        80127	      80413	  200	CSA		 364	-0.36%	Columbus, MS µSA | West Point, MS µSA
Portsmouth, OH                                             	        79277	      79499		µSA		 365	-0.28%
Stillwater, OK                                             	        77988	      77350		µSA		 366	+0.82%
Somerset, PA                                               	        77405	      77742		µSA		 367	-0.43%
Warsaw, IN                                                 	        77336	      77358		µSA		 368	-0.03%
Quincy, IL-MO                                              	        77314	      77314		µSA		 369	0.00%
Keene, NH                                                  	        76918	      77117		µSA		 370	-0.26%
Sandusky, OH                                               	        76751	      77079		MSA		 371	-0.43%
Casper, WY                                                 	        76366	      75450		MSA		 372	+1.21%
Roanoke Rapids, NC                                         	        76066	      76790		µSA		 373	-0.94%
Centralia, WA                                              	        75901	      75455		µSA		 374	+0.59%
Helena, MT                                                 	        75699	      74801		µSA		 375	+1.20%
Marshfield-Wisconsin Rapids, WI                            	        74785	      74749		µSA		 376	+0.05%
Palatka, FL                                                	        74041	      74364		µSA		 377	-0.43%
Key West, FL                                               	        73873	      73090		µSA		 378	+1.07%
Gallup, NM                                                 	        73664	      71492		µSA		 379	+3.04%
Grand Island, NE                                           	        73551	      72726		µSA		 380	+1.13%
Union City-Martin, TN-KY                                   	        73525	      73641	  542	CSA		 381	-0.16%	Union City, TN-KY µSA | Martin, TN µSA
Statesboro, GA                                             	        72881	      70217		µSA		 382	+3.79%
Aberdeen, WA                                               	        72546	      72797		µSA		 383	-0.34%
Minot, ND                                                  	        72067	      69540		µSA		 384	+3.63%
Port Angeles, WA                                           	        71838	      71404		µSA		 385	+0.61%
Fort Payne, AL                                             	        71375	      71109		µSA		 386	+0.37%
Muskogee, OK                                               	        71003	      70990		µSA		 387	+0.02%
Galesburg, IL                                              	        70735	      70626		µSA		 388	+0.15%
Mount Pleasant, MI                                         	        70622	      70311		µSA		 389	+0.44%
Clovis-Portales, NM                                        	        70095	      68222	  188	CSA		 390	+2.75%	Clovis, NM µSA | Portales, NM µSA
Stevens Point, WI                                          	        70084	      70019		µSA		 391	+0.09%
Greenwood, SC                                              	        69835	      69661		µSA		 392	+0.25%
Marion, IN                                                 	        69793	      70061		µSA		 393	-0.38%
Greeneville, TN                                            	        69339	      68831		µSA		 394	+0.74%
North Wilkesboro, NC                                       	        68984	      69340		µSA		 395	-0.51%
Richmond, IN                                               	        68643	      68917		µSA		 396	-0.40%
Kapaa, HI                                                  	        67701	      67091		µSA		 397	+0.91%
Marquette, MI                                              	        67694	      67077		µSA		 398	+0.92%
Forest City, NC                                            	        67538	      67810		µSA		 399	-0.40%
Lake City, FL                                              	        67485	      67531		µSA		 400	-0.07%
Morehead City, NC                                          	        67373	      66469		µSA		 401	+1.36%
Martinsville, VA                                           	        67300	      67972		µSA		 402	-0.99%
Klamath Falls, OR                                          	        66299	      66380		µSA		 403	-0.12%
Roswell, NM                                                	        65890	      65645		µSA		 404	+0.37%
Alamogordo, NM                                             	        65703	      63797		µSA		 405	+2.99%
Marinette, WI-MI                                           	        65586	      65778		µSA		 406	-0.29%
Nacogdoches, TX                                            	        65466	      64524		µSA		 407	+1.46%
Hobbs, NM                                                  	        65423	      64727		µSA		 408	+1.08%
Charleston-Mattoon, IL                                     	        65012	      64921		µSA		 409	+0.14%
Athens, OH                                                 	        64769	      64757		µSA		 410	+0.02%
Hutchinson, KS                                             	        64607	      64511		µSA		 411	+0.15%
Clearlake, CA                                              	        64323	      64665		µSA		 412	-0.53%
Elizabeth City, NC                                         	        64197	      64094		µSA		 413	+0.16%
Somerset, KY                                               	        63657	      63063		µSA		 414	+0.94%
Red Bluff, CA                                              	        63601	      63463		µSA		 415	+0.22%
Ruston, LA                                                 	        63179	      63009		µSA		 416	+0.27%
Sayre, PA                                                  	        62917	      62622		µSA		 417	+0.47%
Coos Bay, OR                                               	        62791	      63043		µSA		 418	-0.40%
Salina, KS                                                 	        61963	      61697		µSA		 419	+0.43%
Oneonta, NY                                                	        61917	      62259		µSA		 420	-0.55%
Rio Grande City-Roma, TX                                   	        61715	      60968		µSA		 421	+1.23%
Lewiston, ID-WA                                            	        61476	      60888		MSA		 422	+0.97%
Rutland, VT                                                	        61289	      61642		µSA		 423	-0.57%
Sturgis, MI                                                	        61136	      61295		µSA		 424	-0.26%
Enid, OK                                                   	        60670	      60580		µSA		 425	+0.15%
Barre, VT                                                  	        59626	      59534		µSA		 426	+0.15%
Walla Walla, WA                                            	        59588	      58781		µSA		 427	+1.37%
Norwalk, OH                                                	        59496	      59626		µSA		 428	-0.22%
Kinston, NC                                                	        59339	      59495		µSA		 429	-0.26%
Edwards, CO                                                	        59281	      59507		µSA		 430	-0.38%
Sanford, NC                                                	        58752	      57866		µSA		 431	+1.53%
Sterling, IL                                               	        58388	      58498		µSA		 432	-0.19%
Palestine, TX                                              	        58308	      58458		µSA		 433	-0.26%
Point Pleasant, WV-OH                                      	        58268	      58258		µSA		 434	+0.02%
Dublin, GA                                                 	        57924	      58414		µSA		 435	-0.84%
Ardmore, OK                                                	        57482	      56980		µSA		 436	+0.88%
Fergus Falls, MN                                           	        57252	      57303		µSA		 437	-0.09%
Crossville, TN                                             	        56632	      56053		µSA		 438	+1.03%
Picayune, MS                                               	        55718	      55834		µSA		 439	-0.21%
Calhoun, GA                                                	        55621	      55186		µSA		 440	+0.79%
Carson City, NV                                            	        55439	      55274		MSA		 441	+0.30%
Eagle Pass, TX                                             	        55405	      54258		µSA		 442	+2.11%
Waycross, GA                                               	        55244	      55070		µSA		 443	+0.32%
Phoenix Lake-Cedar Ridge, CA                               	        54953	      55365		µSA		 444	-0.74%
Jasper, IN                                                 	        54927	      54734		µSA		 445	+0.35%
Oil City, PA                                               	        54683	      54984		µSA		 446	-0.55%
Morgan City, LA                                            	        54210	      54650		µSA		 447	-0.81%
Muscatine, IA                                              	        54184	      54132		µSA		 448	+0.10%
Carlsbad-Artesia, NM                                       	        54152	      53829		µSA		 449	+0.60%
Milledgeville, GA                                          	        53817	      55149		µSA		 450	-2.42%
Ontario, OR-ID                                             	        53692	      53936		µSA		 451	-0.45%
McComb, MS                                                 	        53470	      53535		µSA		 452	-0.12%
Scottsboro, AL                                             	        53291	      53227		µSA		 453	+0.12%
Danville, KY                                               	        53281	      53174		µSA		 454	+0.20%
Kearney, NE                                                	        53278	      52591		µSA		 455	+1.31%
Fort Leonard Wood, MO                                      	        53175	      52274		µSA		 456	+1.72%
Ashland, OH                                                	        53153	      53139		µSA		 457	+0.03%
Payson, AZ                                                 	        53144	      53597		µSA		 458	-0.85%
Natchez, MS-LA                                             	        52943	      53119		µSA		 459	-0.33%
Glasgow, KY                                                	        52342	      52272		µSA		 460	+0.13%
Durango, CO                                                	        51917	      51334		µSA		 461	+1.14%
Malone, NY                                                 	        51551	      51599		µSA		 462	-0.09%
Mason City, IA                                             	        51482	      51749		µSA		 463	-0.52%
Elko, NV                                                   	        51470	      50805		µSA		 464	+1.31%
Winona, MN                                                 	        51378	      51461		µSA		 465	-0.16%
Boone, NC                                                  	        51333	      51079		µSA		 466	+0.50%
Douglas, GA                                                	        51277	      50731		µSA		 467	+1.08%
Platteville, WI                                            	        51210	      51208		µSA		 468	+0.00%
Rexburg, ID                                                	        50992	      50778		µSA		 469	+0.42%
St. Marys, GA                                              	        50410	      50513		µSA		 470	-0.20%
Greenville, MS                                             	        50406	      51137		µSA		 471	-1.43%
Paris, TX                                                  	        50074	      49793		µSA		 472	+0.56%
Kerrville, TX                                              	        49783	      49625		µSA		 473	+0.32%
Sidney, OH                                                 	        49307	      49423		µSA		 474	-0.23%
Del Rio, TX                                                	        49106	      48879		µSA		 475	+0.46%
Clinton, IA                                                	        49015	      49116		µSA		 476	-0.21%
Oxford, MS                                                 	        48472	      47351		µSA		 477	+2.37%
Vicksburg, MS                                              	        48346	      48773		µSA		 478	-0.88%
Norfolk, NE                                                	        48302	      48271		µSA		 479	+0.06%
Corsicana, TX                                              	        48054	      47735		µSA		 480	+0.67%
Tahlequah, OK                                              	        47845	      46987		µSA		 481	+1.83%
Starkville, MS                                             	        47741	      47671		µSA		 482	+0.15%
Washington, NC                                             	        47691	      47759		µSA		 483	-0.14%
Nogales, AZ                                                	        47676	      47420		µSA		 484	+0.54%
Cadillac, MI                                               	        47629	      47584		µSA		 485	+0.09%
Burlington, IA-IL                                          	        47365	      47656		µSA		 486	-0.61%
Cañon City, CO                                             	        47347	      46824		µSA		 487	+1.12%
Mount Vernon, IL                                           	        47138	      47284		µSA		 488	-0.31%
Madisonville, KY                                           	        46909	      46920		µSA		 489	-0.02%
Lewistown, PA                                              	        46858	      46682		µSA		 490	+0.38%
Cedar City, UT                                             	        46740	      46163		µSA		 491	+1.25%
Gillette, WY                                               	        46618	      46133		µSA		 492	+1.05%
Rockingham, NC                                             	        46611	      46639		µSA		 493	-0.06%
Bedford, IN                                                	        46195	      46134		µSA		 494	+0.13%
Ponca City, OK                                             	        46159	      46562		µSA		 495	-0.87%
Blytheville, AR                                            	        45966	      46480		µSA		 496	-1.11%
Huntingdon, PA                                             	        45875	      45913		µSA		 497	-0.08%
Safford, AZ                                                	        45753	      45657		µSA		 498	+0.21%
Bellefontaine, OH                                          	        45688	      45858		µSA		 499	-0.37%
Moultrie, GA                                               	        45645	      45498		µSA		 500	+0.32%
McAlester, OK                                              	        45625	      45837		µSA		 501	-0.46%
Shelbyville, TN                                            	        45509	      45058		µSA		 502	+1.00%
Harrison, AR                                               	        45315	      45233		µSA		 503	+0.18%
Henderson, NC                                              	        45307	      45422		µSA		 504	-0.25%
Bemidji, MN                                                	        45264	      44442		µSA		 505	+1.85%
Duncan, OK                                                 	        45197	      45048		µSA		 506	+0.33%
Coldwater, MI                                              	        45197	      45248		µSA		 506	-0.11%
Pullman, WA                                                	        45077	      44776		µSA		 508	+0.67%
Rolla, MO                                                  	        45020	      45156		µSA		 509	-0.30%
Thomasville, GA                                            	        44702	      44720		µSA		 510	-0.04%
Rock Springs, WY                                           	        44175	      43806		µSA		 511	+0.84%
Burley, ID                                                 	        43341	      43021		µSA		 512	+0.74%
Selma, AL                                                  	        43332	      43820		µSA		 513	-1.11%
Big Rapids, MI                                             	        43300	      42798		µSA		 514	+1.17%
Cornelia, GA                                               	        43279	      43041		µSA		 515	+0.55%
Bradford, PA                                               	        43222	      43450		µSA		 516	-0.52%
Durant, OK                                                 	        43089	      42416		µSA		 517	+1.59%
Poplar Bluff, MO                                           	        43082	      42794		µSA		 518	+0.67%
Seymour, IN                                                	        42966	      42376		µSA		 519	+1.39%
Fort Madison-Keokuk, IA-MO                                 	        42640	      43001		µSA		 520	-0.84%
Greenwood, MS                                              	        42234	      42914		µSA		 521	-1.58%
Sedalia, MO                                                	        42178	      42201		µSA		 522	-0.05%
Willmar, MN                                                	        42173	      42239		µSA		 523	-0.16%
Alma, MI                                                   	        42145	      42476		µSA		 524	-0.78%
Lawrenceburg, TN                                           	        42115	      41869		µSA		 525	+0.59%
Ellensburg, WA                                             	        41629	      40915		µSA		 526	+1.75%
Mountain Home, AR                                          	        41536	      41513		µSA		 527	+0.06%
Tifton, GA                                                 	        41461	      40118		µSA		 528	+3.35%
Warren, PA                                                 	        41441	      41815		µSA		 529	-0.89%
El Dorado, AR                                              	        41427	      41639		µSA		 530	-0.51%
Alice, TX                                                  	        41339	      40838		µSA		 531	+1.23%
El Campo, TX                                               	        41314	      41280		µSA		 532	+0.08%
Montrose, CO                                               	        41011	      41276		µSA		 533	-0.64%
Marshalltown, IA                                           	        40980	      40648		µSA		 534	+0.82%
Aberdeen, SD                                               	        40878	      40602		µSA		 535	+0.68%
Celina, OH                                                 	        40838	      40814		µSA		 536	+0.06%
Jacksonville, IL                                           	        40814	      40902		µSA		 537	-0.22%
West Plains, MO                                            	        40665	      40400		µSA		 538	+0.66%
Riverton, WY                                               	        40579	      40123		µSA		 539	+1.14%
Okeechobee, FL                                             	        40140	      39996		µSA		 540	+0.36%
McMinnville, TN                                            	        39927	      39839		µSA		 541	+0.22%
Cambridge, OH                                              	        39927	      40087		µSA		 541	-0.40%
Rockland, ME                                               	        39708	      39736		µSA		 543	-0.07%
Natchitoches, LA                                           	        39442	      39566		µSA		 544	-0.31%
Austin, MN                                                 	        39349	      39163		µSA		 545	+0.47%
Centralia, IL                                              	        39335	      39437		µSA		 546	-0.26%
Pittsburg, KS                                              	        39220	      39134		µSA		 547	+0.22%
Clewiston, FL                                              	        39089	      39140		µSA		 548	-0.13%
Hannibal, MO                                               	        38998	      38948		µSA		 549	+0.13%
Berlin, NH-VT                                              	        38979	      39361		µSA		 550	-0.97%
Pontiac, IL                                                	        38885	      38950		µSA		 551	-0.17%
Defiance, OH                                               	        38884	      39037		µSA		 552	-0.39%
Logansport, IN                                             	        38828	      38966		µSA		 553	-0.35%
Houghton, MI                                               	        38811	      38784		µSA		 554	+0.07%
Sault Ste. Marie, MI                                       	        38797	      38520		µSA		 555	+0.72%
Walterboro, SC                                             	        38611	      38892		µSA		 556	-0.72%
Vincennes, IN                                              	        38500	      38440		µSA		 557	+0.16%
Stephenville, TX                                           	        38266	      37890		µSA		 558	+0.99%
Dyersburg, TN                                              	        38192	      38335		µSA		 559	-0.37%
Brownwood, TX                                              	        38186	      38106		µSA		 560	+0.21%
Easton, MD                                                 	        38025	      37782		µSA		 561	+0.64%
Ada, OK                                                    	        37799	      37492		µSA		 562	+0.82%
Scottsbluff, NE                                            	        37728	      37660		µSA		 563	+0.18%
Moscow, ID                                                 	        37704	      37244		µSA		 564	+1.24%
Hastings, NE                                               	        37702	      37906		µSA		 565	-0.54%
Fort Dodge, IA                                             	        37660	      38013		µSA		 566	-0.93%
Murray, KY                                                 	        37544	      37191		µSA		 567	+0.95%
Americus, GA                                               	        37531	      37829		µSA		 568	-0.79%
North Platte, NE                                           	        37456	      37590		µSA		 569	-0.36%
Astoria, OR                                                	        37153	      37039		µSA		 570	+0.31%
Escanaba, MI                                               	        37105	      37069		µSA		 571	+0.10%
Garden City, KS                                            	        37083	      36776		µSA		 572	+0.83%
Corinth, MS                                                	        37052	      37057		µSA		 573	-0.01%
Bennington, VT                                             	        36970	      37125		µSA		 574	-0.42%
Coshocton, OH                                              	        36955	      36901		µSA		 575	+0.15%
Monroe, WI                                                 	        36891	      36842		µSA		 576	+0.13%
Laramie, WY                                                	        36889	      36299		µSA		 577	+1.63%
Batesville, AR                                             	        36861	      36647		µSA		 578	+0.58%
Emporia, KS                                                	        36581	      36480		µSA		 579	+0.28%
Owatonna, MN                                               	        36534	      36576		µSA		 580	-0.11%
Vidalia, GA                                                	        36499	      36346		µSA		 581	+0.42%
Plainview, TX                                              	        36498	      36273		µSA		 582	+0.62%
Alexandria, MN                                             	        36172	      36009		µSA		 583	+0.45%
Lebanon, MO                                                	        35636	      35571		µSA		 584	+0.18%
Dixon, IL                                                  	        35467	      36031		µSA		 585	-1.57%
Ottumwa, IA                                                	        35421	      35625		µSA		 586	-0.57%
Sulphur Springs, TX                                        	        35371	      35161		µSA		 587	+0.60%
Big Spring, TX                                             	        35122	      35012		µSA		 588	+0.31%
Coffeyville, KS                                            	        34911	      35471		µSA		 589	-1.58%
Arcadia, FL                                                	        34894	      34862		µSA		 590	+0.09%
Brookhaven, MS                                             	        34889	      34869		µSA		 591	+0.06%
Taylorville, IL                                            	        34865	      34800		µSA		 592	+0.19%
Dodge City, KS                                             	        34568	      33848		µSA		 593	+2.13%
Butte-Silver Bow, MT                                       	        34383	      34200		µSA		 594	+0.54%
Kill Devil Hills, NC                                       	        34307	      33920		µSA		 595	+1.14%
Effingham, IL                                              	        34280	      34242		µSA		 596	+0.11%
Susanville, CA                                             	        34200	      34895		µSA		 597	-1.99%
Brenham, TX                                                	        33791	      33718		µSA		 598	+0.22%
Cleveland, MS                                              	        33771	      34145		µSA		 599	-1.10%
Watertown, SD                                              	        33420	      33130		µSA		 600	+0.88%
