Angola, NY
Anguilla, .
Angus (Canada), ON
Angwin, CA
Anjean, WV
Ankara (Turkey),
Ankeny, IA
Ann Arbor, MI
Ann Arbor/Ypsilanti, MI
Anna Maria Island, FL
Anna Paulowna, NH
Anna, IL
Anna, OH
Anna, TX
Annadale, NJ
Annalong,
Annandale, MN
Annandale, NJ
Annandale, NY
Annandale, VA
Annapolis, MD
Annapolis, MO
Annapolis/Severna Park, MD
Anneville, PA
Anniston (Ft. McClellan U.S. Army base), AL
Anniston, AL
Annville, PA
Anoka, MN
Ansbach (Germany),
Ansbach (Germany), .
Anson (just east of, on Hwy 180), TX
Anson, ME
Ansonia, CT
Ansted, WV
Antalya (Turkey),
Antarctica (Ross Ice shelf),
Antelope Acres, CA
Antelope Valley, CA
Antelope, CA
Anthem, AZ
Anthony, FL
Anthony, KS
Antioch Community, SC
Antioch, CA
Antioch, IL
Antioch, TN
Antler Lake (Canada), AB
Antonito (30 miles East of my location), CO
Antwep, OH
Antwerp (Belgium), .
Antwerp, OH
Anza Borrego Desert, CA
Anza Borrego State Park, CA
Anza Borrego, CA
Anza, CA
Anzoátegui (Venezuela), .
Aokville (Canada), ON
Aomori (Japan),
Apache Junction (east of), AZ
Apache Junction (southeast of), AZ
Apache Junction, AZ
Apache Lake, AZ
Apalachicola, FL
Apalachin, NY
Apeldoorn (Netherlands),
Apex (N 35 41 25 W 78 45 01), NC
Apex, NC
Apex/Cary, NC
Apex/Holly Springs (between), NC
Apodaca, Nuevo Leon (Mexico),
Apollo, PA
Apopka (Orlando), FL
Apopka, FL
Appalachia, VA
Appalachian, NY
Appelton, WI
Apple River, IL
Apple Valley (Panoche Road), CA
Apple Valley, CA
Apple Valley, MN
Apple Valley/Burnsville, MN
Apple Valley/Lakeville/Burnsville, MN
Applegate, CA
Appleton (near), ME
Appleton, MN
Appleton, NY
Appleton, WI
Appling, GA
Aptos, CA
Aqaba (Jordan),
Aquaduct (near, over desert, before entering California), CA
Aquebogue, NY
Arab, AL
Arabela (near Roswell), NM
Aransas Pass, TX
Ararat, VA
Arbroath (UK/Scotland),
Arbuckle, CA
Arbuckle/College City (between), CA
Arbutus, MD
Arcade, GA
Arcade, NY
Arcadia (outskirts of), FL
Arcadia Shores, WA
Arcadia, CA
Arcadia, FL
Arcadia, IN
Arcadia, KS
Arcadia, LA
Arcadia, MO
Arcadia, NY
Arcadia, WI
Arcata, CA
Archer City, TX
Arches National Park, UT
Arco Dessert, ID
Arco, ID
Arcola, IL
Arcola, VA
Arctic, AK
Arden Hills, MN
Arden, AR
Arden, NC
Ardmore (near), AL
Ardmore, AL
Ardmore, OK
Ardmore, PA
Ardmore, TN
Ardrossan (Canada), AB
Ardsley, NY
Area 51 and Mercury, NV
Area 51, NV
Arecibo (just S of, Rural central PR), PR
Arenzville, IL
Arequipa (Peru),
Argentina (South Atlantic),
Argentina (weather website),
Argentina,
Argos, IN
Argos, KS
Argostoli (Greece),
Argyle, FL
Argyle, TX
Argyll (UK/Scotland),
Arica (Chile), .
Arivaca, AZ
Arizona (In-flight), AZ
Arizona (NE part)/New Mexico??, AZ
Arizona (about 3 hours from, on I-15), UT
Arizona (above; in-flight), AZ
Arizona (city unknown_, AZ
Arizona (desert; on route 66), AZ
Arizona (northern location), AZ
Arizona (northern), AZ
Arizona (on highway), AZ
Arizona (rural), AZ
Arizona (rural; Buck Eye Salome Rd.), AZ
Arizona (southern; on highway), AZ
Arizona (western; Hwy 40), AZ
Arizona City, AZ
Arizona or Colorano (inflight sighting), AZ
Arizona, AZ
Arkadelphia, AR
Arkansas (NE part, US Rt 67), AR
Arkansas (above?; in-flight), AR
Arkansas (eastern; on US Hwy 70 abt 75 m w/o Memphis, TN), AR
Arkansas (location unknown), AR
Arkansas (northeast tip of), AR
Arkansas (rural), AR
Arkansas City, KS
Arkansas/Oklahoma (border), AR
Arkport, NY
Arlee, MT
Arlen, TX
Arleta, CA
Arlington (3-4 miles East of), WA
Arlington (viewing from), TX
Arlington Heights, IL
Arlington, IL
Arlington, MA
Arlington, MO
Arlington, OH
Arlington, TX
Arlington, VA
Arlington, VT
Arlington, WA
Arlington/Belmont  (line above route 2), MA
Arlington/Dallas, TX
Arluno (Milano),
Armada, MI
Armadale (Australia),
Armadale (Western Australia),
Armagh (Republic of Ireland),
Armidale (Australi),
Armidale (Australia),
Armonk, NY
Armstrong (Canada), BC
Armstrong (Canada), ON
Arnes/Gimli (R.M. of) ?? (Canada), MB
Arnheim, MI
Arnhem (Netherlands),
Arnold, CA
Arnold, MD
Arnold, MO
Arnolds Park, IA
Around Park Valley, UT
Arp, TX
Arrayo Grande, CA
Arroy Seco, CA
Arroyo (Puerto Rico), PR
Arroyo Grande, CA
Arroyo Seco, CA
Artesia, CA
Arthur, ND
Arthur, NE
Artic Circle (Russia),
Aruba (Caribbean),
Aruba,
Arundel (UK/England),
Arvada, CO
Arvana-Lamesa, TX
Arvana/Lamesa, TX
Arvidsjaur (Sweden),
Asbury Park, NJ
Asbury community, NC
Asbury, MO
Asbury, NJ
Aschersleben (Germany), .
Ash Grove, MD
Ashburn, GA
Ashburn, VA
Ashburton (UK/England),
Ashby, MA
Ashcroft (Canada), BC
Ashdown, AR
Asheboro, NC
Asheville, NC
Asheville/Johnson City (between, I-26), TN
Ashford (UK/England),
Ashford Hollow, NY
Ashford, WA
Ashgabat (Turkmenistan),
Ashgrove, MO
Ashland (at our home), MO
Ashland (just outside of), MO
Ashland (outside Douglas Co.), NE
Ashland (right over Highway 63), MO
Ashland City, TN
Ashland, KY
Ashland, MA
Ashland, ME
Ashland, MO
Ashland, NE
Ashland, NH
Ashland, OH
Ashland, OR
Ashland, PA
Ashland, VA
Ashland, WI
Ashley, IL
Ashley, OH
Ashnurn, VA
Ashtabula (Saybrook Twnshp.), OH
Ashtabula, OH
Ashton, MI
Ashton, NV
Ashton, WV
Ashville (2 miles south of), OH
Ashville (5 miles south of), OH
Ashville, AL
Ashville, OH
Ask not to give this out., MN
Asker (Norway),
Asotin, WA
Aspen, CO
Aspermont, TX
Aspers, PA
Assateague Island, MD
Assen (Netherlands),
Assenovgrad (Bulgaria),
Asseteague Island State Park, MD
Assouan (Egypt), .
Aston, PA
Astoria (Outside of), OR
Astoria, NY
Astoria, OR
Asuncion (Paraguay),
Aswan (Egypt),
At a pullout on the highway, ID
Atascadero, CA
Atascocita, TX
Atchafalaya, LA
Atco, NJ
Atenas (Costa Rica),
Atglen, PA
Athabasca (Canada), AB
Athens (Greece),
Athens (Greece), .
Athens (near), GA
Athens, .
Athens, AL
Athens, GA
Athens, NY
Athens, OH
Athens, TN
Athens, TX
Atherstone (UK/England),
Athol, ID
Athol, MA
Athrugiriya (Sri Lanka),
Atibaia (Brazil),
Atikokan (Canada), ON
Atkins (near), TX
Atkins, TX
Atkinson (6 miles north of), IL
Atkinson, IL
Atlanta (Dunwoody), GA
Atlanta (E of, near the LA border), TX
Atlanta (after takeoff; in flight), GA
Atlanta (going northwest toward, highway 316), GA
Atlanta (however, I have heard entire East Coast), GA
Atlanta (north of), GA
Atlanta (north of, Highway 85), GA
Atlanta, GA
Atlanta, IN
Atlanta, TX
Atlanta/Dobbs AFB, GA
Atlantic Beach, NC
Atlantic City Area, NJ
Atlantic City area  (north or northeast of Hammonton), NJ
Atlantic City, NJ
Atlantic City, WY
Atlantic City/Cardiff, NJ
Atlantic Highlands, NJ
Atlantic Ocean (Bermuda),
Atlantic Ocean (CV-67 U.S.Navy),
Atlantic Ocean (Canada), NS
Atlantic Ocean (Canada/Iceland, midway between),
Atlantic Ocean (Mid-Atlantic),
Atlantic Ocean (NC/250+nm off the coast), NC
Atlantic Ocean (Troopship/ USS ROSE),
Atlantic Ocean (USCG Cutter "Spencer"),
Atlantic Ocean (Virgin Islands),
Atlantic Ocean (around Bermuda/Cariibbean),
Atlantic Ocean (at sea),
Atlantic Ocean (between Nassau, Bahamas, and Florida), FL
Atlantic Ocean (between San Juan and U.S. Virgin Isl.),
Atlantic Ocean (in flight),
Atlantic Ocean (inflight),
Atlantic Ocean (inflight, USN P-3),
Atlantic Ocean (middle),
Atlantic Ocean (off Africa),
Atlantic Ocean (unknown), VA
Atlantic Ocean,
Atlantic Ocean, FL
Atlantic Ocean, MA
Atlantic Ocean, NC
Atlantic Ocean, NJ
Atlantic Ocean, RI
Atlantic Ocean/Caribbean sea,
Atlantic and Audubon, IA
Atlantic, IA
Atlantic, NJ
Atmore, AL
Atolicita Hills, CA
Attalla/Gadsden, AL
Attica, MI
Attleboro, MA
Atwater Village, CA
Atwater, CA
Atwater, OH
Atwell, NY
Atwood, IL
Au Sable Forks, NY
Auanga, CA
Auberry, CA
Aubrey, TX
Auburn (Heading N on HWY 167), WA
Auburn Hills, MI
Auburn Lake Park, OH
Auburn, AL
Auburn, CA
Auburn, GA
Auburn, IL
Auburn, IN
Auburn, MA
Auburn, ME
Auburn, MI
Auburn, NH
Auburn, NY
Auburn, PA
Auburn, WA
Auburn/Lewiston, ME
Auburn/Montgomery (between), AL
Auburn/Skaneateles (between), NY
Auburndale, FL
Auckland (New Zealand),
Auckland (New Zealand), .
Audubon, IA
Audubon, MN
Audubon, NJ
Augadillla (Puerto Rico),
Augusta (Ft. Gordon), GA
Augusta Springs, VA
Augusta, AR
Augusta, GA
Augusta, KS
Augusta, ME
Augusta, MT
Auke Bay, AK
Aurangabad (India),
Aurangabad.Maharashtra (India),
Aurburn, NS
Auriol/Provence (France),
Aurora (Canada), ON
Aurora (outside), IL
Aurora Siderd  (Hwy. 400) (Canada), ON
Aurora, CO
Aurora, IL
Aurora, NY
Aurora, OH
Aurora, OR
Aurora/Wheaton/Warrenville areas, IL
Aurora/Woodburn, OR
Ausitn, TX
Austell, GA
Austin (Lake Travis), TX
Austin (Round Rock), TX
Austin (area), TX
Austin (near), TX
Austin (rural), TX
Austin, AR
Austin, MN
Austin, TX
Austin/Eureka (between, Hwy. 50), NV
Austin/Eureka (between, U.S.hiway 50), NV
Austin/Eureka (near, on US Hiway 50), NV
Austin/Rochester (between), MN
Austin/San Marcos, TX
Austintown, OH
Australia (Queensland),
Australia (on a cattle property),
Australia (rural),
Australia,
Australia, AL
Australian Capital Territory (Australia),
Australian outback,
Auteuil (Canada), PQ
Auxvasse, MO
Avalon, CA
Avalon, NJ
Avebury (UK/England),
Aveiro (Portugal),
Avenal, CA
Aventura, FL
Avenue City, MO
Averill Park, NY
Avery, MO
Aviano (Italy),
Avila Beach (Diablo Canyon Nucular power Plant), CA
Avila Beach, CA
Avilla, IN
Avilton (Frostburg), MD
Avinger (Lake o' the Pines), TX
Avinger (Lake o' the Pinext), TX
Aviston, IL
Avnol (near), CA
Avoca, IA
Avoca, MI
Avoca, PA
Avoch (UK/Scotland),
Avoco, PA
Avon (Outer Banks), NC
Avon Lake, OH
Avon Park (N of, to as far S of L. Placid), FL
Avon Park, FL
Avon, CO
Avon, CT
Avon, MA
Avon, NC
Avon, NY
Avon, OH
Avon-by-the-Sea, NJ
Avon/Brodhead, WI
Avondale, AZ
Avra Valley, AZ
Ayden, NC
Aydin (Turkey),
Ayer, MA
Aylesbury (UK/England),
Aylett, VA
Aylmer (Canada), ON
Aylmer (Canada), PQ
Aylmer (Canada), QC
Ayr (UK/Scotland),
Ayrshire (UK/Scotland),
Azle, TX
Azores (Portugal), .
Azores (U.S.S. Monrovia),
Azores (aboard USS Albany),
Azores (at sea),
Aztalan State Park, WI
Aztec, NM
Aztec/Farmington, NM
Azucena, LA
Azusa, CA
Azuza, CA
Azwell, WA
Baadon, MI
Babbitt, MN
Babenhausen (Germany),
Babson Park, FL
Babylon, NY
Bacolod (Philippines),
Bacolod City (Occidental Province) (Philippines),
Bacolod City (Philippines),
Baconton, GA
Bad Axe, MI
Bad Breisig, RPF (Germany),
Baden (Switzerland),
Baden, PA
Badlands, SD
Bagdad (Iraq),
Bagdad, AZ
Baggs, WY
Baghdad (Iraq),
Baghdad,
Bagley, MN
Bagram (Afghanistan),
Bagshot  Surrey (UK/England),
Bagsværd (Denmark), DC
Baguio (Philippines),
Bahama, NC
Bahamas,
Bahamas, .
Bahia Blanca, BsAs (Argentina),
Bahia de Los Angeles (Baja California) (Mexico), .
Bahia de Los Angeles (Baja, Mexico),
Baie D'urfe (Canada), QC
Baie-Comeau (85 km N of) (Canada), PQ
Baildon (UK/England),
Bailey's Harbor, WI
Bailey, CO
Bailey, NC
Bailey/Fairplay (between, off Hy 285), CO
Baileys Cross Roads (just outside Wash DC), VA
Baileys Harbor, WI
Baileyton, TN
Baileyville, ME
Bainbridge Island, WA
Bainbridge, GA
Bainbridge, NY
Bainbridge, OH
Bainbridge/ Port Deposit, MD
Baird, TX
Baird/ Putnam on I-20, TX
Bairnsdale (Victoria, Australia),
Baiting H, NY
Baja (Mexico),
Baker (20 mi. outside of), CA
Baker (approx. 25 mi. S of), CA
Baker City, OR
Baker Lake (rural WA), WA
Baker, CA
Baker, LA
Baker, MT
Baker, OR
Baker/Edwards AFB, CA
Baker/Las Vegas (Between; 30 mi. NE of Baker on I-5 East), CA
Baker/Stateline (between), CA
Bakersfield (1 hour north of), CA
Bakersfield (1-30, North of), CA
Bakersfield (40 miles north of), CA
Bakersfield (80 miles north of), CA
Bakersfield (I-5 north of), CA
Bakersfield (near I-5), CA
Bakersfield (near), CA
Bakersfield area, CA
Bakersfield, CA
Bakersville, NC
Bakesrsfield, CA
Baku (Azerbaijan),
Baku (Azerbaijan), .
Balad (south south west of) (Iraq),
Balapur, Hyderabad (India),
Balboa (Panama Canal Zone),
Balderton Newark on Trent, Nottinghamshire (UK/England),
Baldock (UK/England),
Baldwin City, KS
Baldwin Park, CA
Baldwin, FL
Baldwin, MI
Baldwin, NY
Baldwin, WI
Balerma (Spain),
Balgonie (qu Apple Valley) (Canada), SK
Bali (Indonesia),
Baling (Malaysia),
Ball Ground, GA
Ballarat (Australia),
Ballard (Seattle), WA
Ballater, Aberdeenshire (UK/Scotland),
Ballina (Republic of Ireland),
Ballinger, TX
Ballston Lake, NY
Ballston Lake/Malta, NY
Ballston Spa, NY
Ballwin, MO
Ballymoney, Antrim (UK/Wales),
Baltic, SD
Baltimore (Reisterstown Road & Northern arkway), MD
Baltimore BWI Airport, MD
Baltimore County, MD
Baltimore, MD
Baltimore, ME
Baltimore, OH
Baltimore/Windsor Hills, MD
Balto City, MD
Balwin, MO
Bamberg (Germany),
Bamberg (Germany/Bavaria),
Bamfield (Canada), BC
Banbridge (Northern Ireland),
Banbury (UK/England),
Banbury (near) (UK/England),
Bancroft (Canada), ON
Bancroft (Rural area near), WI
Bancroft (northeast of), WI
Bancroft, MI
Bandar Seri Begawan (Brunei),
Bandar Seri Begawan,
Bandera, TX
Bandon, OR
Bandung (Indonesia),
Bandy, NY
Banes (Cuba),
Banff (Canada), AB
Banff National Park (Canada), AB
Bangalore (India),
Bangalore (India), .
Bangalore (India), IN
Bangalore, KS
Bangkok (Thailand),
Bangor (Northern Ireland),
Bangor (UK/Wales) (north Wales),
Bangor Submarine Base (Olympic Penninsula), WA
Bangor Submarine Base, WA
Bangor, ME
Bangor/Falmoth (Between), ME
Banja Luka (Bosnia),
Banks (outside of), AL
Banks, OR
Bankson Lake/Lawton, MI
Banner Elk, NC
Banner, TN
Banning, CA
Banos (Ecuador),
Bar Harbor (Bar Island Crossover), ME
Bar Harbor, ME
Baraboo, WI
Baranduda (Australia),
Barberton, OH
Barboursville (area, rural), WV
Barboursville, WV
Barbourville, KY
Barcelona (Spain),
Barco, NC
Bardstown, KY
Bariloche (Argentina),
Barkhamsted, CT
Barksdale AFB (Shreveport), LA
Barksdale AFB, LA
Barletta (Italy),
Barnala Sherpur (village) (India),
Barnaul (Russia),
Barnegat Light, NJ
Barnegat, NE
Barnegat, NJ
Barnesville, OH
Barnesville, PA
Barnet (UK/England),
Barneveld, NY
Barnhart, NH
Barnoldswick (UK/England),
Barnsdall, OK
Barnsley (UK/England),
Barnstable, MA
Barnstaple (UK/England),
Barnum, MN
Barnwell, SC
Barocay Island (Philippines),
Barossa Valley (Australia),
Barquisimeto (Venezuela),
Barra da Tijuca (Rio de Janeiro) (Brazil),
Barra do Tejuco (Rio de Janeiro) (Brazil),
Barranquitas (Puerto Rico), PR
Barre, NY
Barre, VT
Barrhead (Canada), AB
Barrie (Canada), ON
Barrie (Simcoe) (Canada), ON
Barriere (Canada), BC
Barrigada (Marianas Islands/Guam),
Barrington Hills, IL
Barrington, IL
Barrington, NH
Barrington, NJ
Barrington, RI
Barronvale, PA
Barrow-In-Furness (UK/England),
Barrow-in-Furness, Cumbria (UK/England),
Barrys Bay (Canada), ON
Barryton, MI
Barstow (aprox 35 mi west of, Mojave desert), CA
Barstow (near, on I-15 N), CA
Barstow and Needles (between), CA
Barstow, CA
Barstow-Baker, CA
Bartelso (outside of), IL
Bartlesville, OK
Bartlett, IL
Bartlett, TN
Bartlett/Memphis, TN
Barto, PA
Barton City, MI
Barton Hills, MI
Barton, VT
Bartonsville, PA
Bartonville, IL
Bartow, FL
Bartow/Mulberry, FL
Barvaux (Belgium), .
Barview, OR
Basak Gate Lapu-Lapu City,Cebu (Philippines),
Basalt, CO
Basel (Switzerland),
Basingstoke (UK/England),
Baskerville, VA
Baskin, LA
Basking Ridge (near), NJ
Basking Ridge, NJ
Basom, NY
Bass Harbor, ME
Bass Lake (near), CA
Bass Lake/Culver, IN
Basseterre (St. Kitts),
Bassevelde (Belgium),
Bastrop County (rural area), TX
Bastrop, LA
